By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,LAL,31,34.7,26.1,9.5,18.0,52.7,0.7,2.2,32.4,6.4,8.3,77.7,2.5,9.0,11.6,3.5,2.2,1.3,2.0,1.9,53.1,23,0,-0.5,Anthony Edwards,16
2023-24,LAL,76,35.5,24.7,9.4,16.9,55.6,0.4,1.4,27.1,5.5,6.8,81.6,3.1,9.5,12.6,3.5,2.1,1.2,2.3,2.3,53.6,64,2,2.0,Anthony Edwards,16
2022-23,LAL,56,34.0,25.9,9.7,17.2,56.3,0.3,1.3,25.7,6.2,7.9,78.4,3.5,9.1,12.5,2.6,2.2,1.1,2.0,2.6,52.0,40,0,3.7,Anthony Edwards,16
2021-22,LAL,40,35.1,23.2,9.3,17.4,53.2,0.3,1.8,18.6,4.4,6.1,71.3,2.7,7.2,9.9,3.1,2.1,1.2,2.3,2.4,47.9,19,0,-2.3,Anthony Edwards,16
2020-21,LAL,36,32.3,21.8,8.4,17.0,49.1,0.7,2.8,26.0,4.4,5.9,73.8,1.7,6.2,7.9,3.1,2.1,1.3,1.6,1.7,42.6,12,0,3.2,Anthony Edwards,16
2019-20,LAL,62,34.4,26.1,8.9,17.7,50.3,1.2,3.5,33.0,7.2,8.5,84.6,2.3,7.0,9.3,3.2,2.5,1.5,2.3,2.5,50.9,29,0,3.9,Anthony Edwards,16
2018-19,NOP,56,33.0,25.9,9.5,18.3,51.7,0.9,2.6,33.1,6.1,7.7,79.4,3.1,8.9,12.0,3.9,2.0,1.6,2.4,2.4,56.1,37,0,2.4,Anthony Edwards,16
2017-18,NOP,75,36.4,28.1,10.4,19.5,53.4,0.7,2.2,34.0,6.6,8.0,82.8,2.5,8.6,11.1,2.3,2.2,1.5,2.6,2.1,55.1,50,1,3.9,Anthony Edwards,16
2016-17,NOP,75,36.1,28.0,10.3,20.3,50.5,0.5,1.8,29.9,6.9,8.6,80.2,2.3,9.5,11.8,2.1,2.4,1.3,2.2,2.2,53.3,49,0,0.7,Anthony Edwards,16
2015-16,NOP,61,35.5,24.3,9.2,18.6,49.3,0.6,1.8,32.4,5.3,7.0,75.8,2.1,8.1,10.3,1.9,2.0,1.3,2.0,2.4,47.5,36,0,-3.3,Anthony Edwards,16
2014-15,NOP,68,36.1,24.4,9.4,17.6,53.5,0.0,0.2,8.3,5.5,6.8,80.5,2.5,7.7,10.2,2.2,1.4,1.5,2.9,2.1,51.8,42,0,3.9,Anthony Edwards,16
2013-14,NOP,67,35.2,20.8,7.8,15.0,51.9,0.0,0.1,22.2,5.2,6.6,79.1,3.1,7.0,10.0,1.6,1.6,1.3,2.8,3.0,46.0,36,0,-1.7,Anthony Edwards,16
2012-13,NOH,64,28.8,13.5,5.5,10.6,51.6,0.0,0.1,0.0,2.6,3.5,75.1,2.6,5.6,8.2,1.0,1.4,1.2,1.8,2.5,32.2,20,0,-2.4,Anthony Edwards,16
