By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,TOT,34,31.7,15.5,5.4,12.9,41.6,2.1,6.0,35.5,2.6,3.1,85.7,0.3,2.5,2.8,6.0,2.4,0.9,0.1,2.4,28.7,4,0,-3.2,Dennis Smith Jr.,85
2024-25,GSW,11,27.9,9.5,3.3,10.5,31.3,1.3,4.8,26.4,1.6,2.2,75.0,0.5,1.8,2.4,4.6,2.0,0.5,0.1,2.4,19.2,0,0,-9.7,Dennis Smith Jr.,85
2024-25,BKN,23,33.6,18.4,6.4,14.1,45.2,2.5,6.5,38.7,3.1,3.5,88.9,0.2,2.8,3.0,6.6,2.6,1.1,0.2,2.4,33.2,4,0,-0.1,Dennis Smith Jr.,85
2023-24,TOT,80,31.1,14.0,5.0,11.6,43.5,1.7,4.6,37.5,2.2,2.7,83.6,0.5,2.5,3.0,6.1,1.9,0.8,0.2,2.1,27.9,8,0,-1.6,Dennis Smith Jr.,85
2023-24,BKN,29,32.0,14.6,5.4,12.7,42.4,2.1,5.1,41.2,1.8,2.2,79.7,0.6,2.9,3.5,6.0,2.4,0.6,0.3,2.0,28.2,2,0,-3.3,Dennis Smith Jr.,85
2023-24,TOR,51,30.6,13.7,4.8,11.0,44.2,1.5,4.3,35.0,2.5,2.9,85.2,0.4,2.3,2.7,6.1,1.6,0.9,0.2,2.1,27.7,6,0,-0.6,Dennis Smith Jr.,85
2022-23,LAL,66,30.1,12.6,4.1,9.8,41.5,1.1,3.4,32.9,3.3,3.8,85.7,0.3,2.2,2.5,4.5,1.7,0.8,0.2,2.2,23.4,2,0,1.9,Dennis Smith Jr.,85
2021-22,TOT,64,28.7,13.5,4.9,11.3,43.1,1.3,3.9,34.4,2.5,2.9,85.3,0.5,2.8,3.3,4.6,2.2,0.8,0.1,2.4,25.1,1,0,-0.5,Dennis Smith Jr.,85
2021-22,HOU,15,27.0,10.9,3.7,9.3,39.3,1.3,3.9,32.8,2.3,2.6,87.2,0.4,2.9,3.3,5.9,2.6,0.8,0.2,2.5,24.1,1,0,-6.8,Dennis Smith Jr.,85
2021-22,BOS,49,29.2,14.4,5.2,11.9,44.0,1.4,3.9,34.9,2.5,3.0,84.8,0.6,2.8,3.3,4.2,2.1,0.8,0.1,2.4,25.4,0,0,1.4,Dennis Smith Jr.,85
2020-21,LAL,61,32.1,15.4,5.4,12.5,43.7,1.2,3.5,33.5,3.4,4.0,84.8,0.5,3.0,3.5,5.8,2.7,1.1,0.2,2.6,29.6,6,0,1.4,Dennis Smith Jr.,85
2019-20,OKC,65,30.8,18.9,7.0,14.8,46.9,1.9,5.0,38.5,3.0,3.6,83.9,0.3,3.3,3.6,4.0,2.6,0.7,0.2,2.2,29.5,0,0,3.6,Dennis Smith Jr.,85
2018-19,OKC,79,29.3,15.5,5.8,14.0,41.4,1.6,4.6,34.1,2.4,2.9,81.9,0.5,3.1,3.6,4.1,2.2,0.8,0.2,2.4,26.7,3,0,2.1,Dennis Smith Jr.,85
2017-18,ATL,67,31.0,19.4,7.5,17.1,43.6,1.1,3.9,29.0,3.4,4.0,84.9,0.7,2.4,3.1,6.2,2.7,1.1,0.1,2.2,33.2,5,0,-4.1,Dennis Smith Jr.,85
2016-17,ATL,79,31.5,17.9,6.9,15.4,45.1,1.3,3.7,34.0,2.8,3.2,85.5,0.5,2.6,3.1,6.3,3.3,0.9,0.2,1.9,31.3,10,0,-1.0,Dennis Smith Jr.,85
2015-16,ATL,80,20.3,11.0,4.1,9.8,42.1,1.0,3.0,32.2,1.8,2.3,79.1,0.3,2.2,2.6,4.4,2.3,0.9,0.1,1.7,21.3,2,0,2.8,Dennis Smith Jr.,85
2014-15,ATL,77,19.7,10.0,3.7,8.6,42.7,0.7,1.9,35.1,1.9,2.3,82.7,0.4,1.8,2.1,4.1,1.9,0.6,0.1,1.6,18.8,5,0,0.1,Dennis Smith Jr.,85
2013-14,ATL,49,13.1,3.7,1.5,3.8,38.3,0.2,0.9,23.8,0.6,0.9,67.4,0.1,1.1,1.2,1.9,1.2,0.3,0.0,1.1,7.8,0,0,-4.2,Dennis Smith Jr.,85
