By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,BOS,35,34.3,17.1,5.9,13.1,45.2,3.6,9.1,39.2,1.7,2.1,82.2,0.9,3.6,4.5,4.4,1.7,0.9,1.3,2.1,34.1,1,0,7.7,Derrick White,71
2023-24,BOS,73,32.6,15.2,5.3,11.5,46.1,2.7,6.8,39.6,1.9,2.1,90.1,0.7,3.5,4.2,5.2,1.5,1.0,1.2,2.1,33.1,5,1,8.5,Derrick White,71
2022-23,BOS,82,28.3,12.4,4.3,9.2,46.2,1.8,4.8,38.1,2.0,2.3,87.5,0.6,2.9,3.6,3.9,1.2,0.7,0.9,2.2,26.2,7,0,6.0,Derrick White,71
2021-22,TOT,75,29.3,13.2,4.5,10.7,42.1,1.5,4.9,31.2,2.7,3.1,86.4,0.5,3.0,3.5,4.9,1.6,0.9,0.8,2.3,28.0,2,0,2.7,Derrick White,71
2021-22,BOS,26,27.4,11.0,3.6,8.8,40.9,1.3,4.3,30.6,2.5,2.9,85.3,0.5,2.9,3.4,3.5,1.2,0.6,0.6,2.2,22.7,0,0,6.5,Derrick White,71
2021-22,SAS,49,30.3,14.4,5.0,11.6,42.6,1.7,5.3,31.4,2.8,3.3,86.9,0.5,3.0,3.5,5.6,1.8,1.0,0.9,2.4,30.8,2,0,0.7,Derrick White,71
2020-21,SAS,36,29.5,15.4,5.2,12.6,41.1,2.3,6.8,34.6,2.7,3.2,85.1,0.4,2.6,3.0,3.5,1.3,0.7,1.0,2.5,28.1,0,0,2.6,Derrick White,71
2019-20,SAS,68,24.7,11.3,3.7,8.1,45.8,1.2,3.2,36.6,2.6,3.1,85.3,0.5,2.8,3.3,3.5,1.3,0.6,0.9,2.2,23.7,0,0,0.6,Derrick White,71
2018-19,SAS,67,25.8,9.9,3.9,8.1,47.9,0.7,2.1,33.8,1.4,1.8,77.2,0.5,3.2,3.7,3.9,1.4,1.0,0.7,2.2,23.9,0,0,2.3,Derrick White,71
2017-18,SAS,17,8.2,3.2,0.9,1.9,48.5,0.5,0.8,61.5,0.8,1.2,70.0,0.3,1.2,1.5,0.5,0.4,0.2,0.2,0.5,6.7,0,0,1.8,Derrick White,71
