By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,SAC,34,35.9,20.6,8.1,13.7,59.2,1.1,2.4,44.4,3.3,4.2,77.8,3.8,10.0,13.8,6.3,2.9,0.7,0.5,3.6,47.4,32,5,3.9,Domantas Sabonis,41
2023-24,SAC,82,35.7,19.4,7.7,13.0,59.4,0.4,1.1,37.9,3.6,5.1,70.4,3.6,10.1,13.7,8.2,3.3,0.9,0.6,3.0,49.3,77,26,0.8,Domantas Sabonis,41
2022-23,SAC,79,34.6,19.1,7.3,11.9,61.5,0.4,1.1,37.3,4.1,5.5,74.2,3.2,9.1,12.3,7.3,2.9,0.8,0.5,3.5,45.8,65,14,2.7,Domantas Sabonis,41
2021-22,TOT,62,34.4,18.9,7.1,12.5,57.3,0.6,2.0,31.2,4.0,5.4,74.1,3.2,8.9,12.1,5.2,3.1,1.0,0.4,3.3,42.3,46,5,-0.2,Domantas Sabonis,41
2021-22,SAC,15,33.6,18.9,7.5,13.5,55.4,0.3,1.1,23.5,3.7,4.9,74.3,3.1,9.3,12.3,5.8,3.5,0.9,0.3,3.8,42.5,12,0,-1.8,Domantas Sabonis,41
2021-22,IND,47,34.7,18.9,7.0,12.1,58.0,0.7,2.3,32.4,4.1,5.5,74.0,3.3,8.8,12.1,5.0,3.0,1.0,0.5,3.1,42.2,34,5,0.3,Domantas Sabonis,41
2020-21,IND,62,36.0,20.3,7.8,14.6,53.5,0.8,2.6,32.1,3.9,5.3,73.2,2.4,9.5,12.0,6.7,3.4,1.2,0.5,3.3,46.6,48,9,-1.5,Domantas Sabonis,41
2019-20,IND,62,34.8,18.5,7.4,13.7,54.0,0.3,1.1,25.4,3.5,4.8,72.3,3.0,9.4,12.4,5.0,2.7,0.8,0.5,3.1,41.9,50,4,2.6,Domantas Sabonis,41
2018-19,IND,74,24.8,14.1,5.6,9.5,59.0,0.1,0.2,52.9,2.8,3.9,71.5,2.5,6.8,9.3,2.9,2.2,0.6,0.4,3.2,30.6,30,0,2.6,Domantas Sabonis,41
2017-18,IND,74,24.5,11.6,4.6,8.9,51.4,0.2,0.5,35.1,2.3,3.0,75.0,2.2,5.5,7.7,2.0,1.9,0.5,0.4,3.0,25.0,15,0,0.5,Domantas Sabonis,41
2016-17,OKC,81,20.1,5.9,2.4,5.9,39.9,0.6,2.0,32.1,0.5,0.8,65.7,0.6,3.0,3.6,1.0,1.0,0.5,0.4,2.5,13.3,2,0,0.2,Domantas Sabonis,41
