By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,MIL,25,35.0,32.6,12.7,20.8,61.0,0.2,0.7,22.2,7.0,11.4,61.4,2.0,9.6,11.6,6.0,3.4,0.8,1.4,2.4,58.7,21,3,0.9,Giannis A,1
2023-24,MIL,73,35.2,30.4,11.5,18.8,61.1,0.5,1.7,27.4,7.0,10.7,65.7,2.7,8.8,11.5,6.5,3.4,1.2,1.1,2.9,57.4,57,10,4.6,Giannis A,1
2022-23,MIL,63,32.1,31.1,11.2,20.3,55.3,0.7,2.7,27.5,7.9,12.3,64.5,2.2,9.6,11.8,5.7,3.9,0.8,0.8,3.1,54.8,46,6,5.4,Giannis A,1
2021-22,MIL,67,32.9,29.9,10.3,18.6,55.3,1.1,3.6,29.3,8.3,11.4,72.2,2.0,9.6,11.6,5.8,3.3,1.1,1.4,3.2,56.5,46,4,5.9,Giannis A,1
2020-21,MIL,61,33.0,28.1,10.3,18.0,56.9,1.1,3.6,30.3,6.5,9.5,68.5,1.6,9.4,11.0,5.9,3.4,1.2,1.2,2.8,53.9,41,7,6.7,Giannis A,1
2019-20,MIL,63,30.4,29.5,10.9,19.7,55.3,1.4,4.7,30.4,6.3,10.0,63.3,2.2,11.4,13.6,5.6,3.7,1.0,1.0,3.1,56.6,56,4,10.8,Giannis A,1
2018-19,MIL,72,32.8,27.7,10.0,17.3,57.8,0.7,2.8,25.6,6.9,9.5,72.9,2.2,10.3,12.5,5.9,3.7,1.3,1.5,3.2,56.2,54,5,9.1,Giannis A,1
2017-18,MIL,75,36.7,26.9,9.9,18.7,52.9,0.6,1.9,30.7,6.5,8.5,76.0,2.1,8.0,10.0,4.8,3.0,1.5,1.4,3.1,51.7,42,1,2.0,Giannis A,1
2016-17,MIL,80,35.6,22.9,8.2,15.7,52.1,0.6,2.3,27.2,5.9,7.7,77.0,1.8,7.0,8.8,5.4,2.9,1.6,1.9,3.1,49.2,32,3,0.6,Giannis A,1
2015-16,MIL,80,35.3,16.9,6.4,12.7,50.6,0.4,1.4,25.7,3.7,5.1,72.4,1.4,6.2,7.7,4.3,2.6,1.2,1.4,3.2,37.7,21,5,-2.1,Giannis A,1
2014-15,MIL,81,31.4,12.7,4.7,9.6,49.1,0.1,0.5,15.9,3.2,4.3,74.1,1.2,5.5,6.7,2.6,2.1,0.9,1.0,3.1,28.3,10,0,0.1,Giannis A,1
2013-14,MIL,77,24.6,6.8,2.2,5.4,41.4,0.5,1.5,34.7,1.8,2.6,68.3,1.0,3.4,4.4,1.9,1.6,0.8,0.8,2.2,18.2,2,0,-2.3,Giannis A,1
