By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,LAC,36,32.2,15.1,6.8,11.1,61.6,0,0.0,0,1.5,2.8,52.0,3.9,8.8,12.6,2.5,1.8,0.7,1.2,2.0,37.7,24,0,2.9,Ivica Zubac,89
2023-24,LAC,68,26.4,11.7,5.0,7.6,64.9,0,0.0,0,1.8,2.4,72.3,2.9,6.3,9.2,1.4,1.2,0.3,1.2,2.6,28.2,23,0,2.7,Ivica Zubac,89
2022-23,LAC,76,28.5,10.8,4.3,6.8,63.4,0,0.0,0,2.2,3.1,69.7,3.1,6.8,9.9,1.0,1.5,0.4,1.3,2.9,27.7,27,0,-0.4,Ivica Zubac,89
2021-22,LAC,76,24.4,10.3,4.1,6.5,62.6,0,0.0,0,2.2,3.0,72.7,2.9,5.6,8.5,1.6,1.5,0.5,1.0,2.7,25.8,25,0,-1.7,Ivica Zubac,89
2020-21,LAC,72,22.3,9.0,3.6,5.5,65.2,0,0.1,25,1.9,2.4,78.9,2.6,4.6,7.2,1.3,1.1,0.3,0.9,2.6,22.0,13,0,2.5,Ivica Zubac,89
2019-20,LAC,72,18.4,8.3,3.3,5.3,61.3,0,0.0,0,1.7,2.3,74.7,2.7,4.8,7.5,1.1,0.8,0.2,0.9,2.3,21.6,10,0,3.2,Ivica Zubac,89
2018-19,TOT,59,17.6,8.9,3.6,6.4,55.9,0,0.0,0,1.7,2.1,80.2,1.9,4.2,6.1,1.1,1.2,0.2,0.9,2.3,20.0,8,0,0.7,Ivica Zubac,89
2018-19,LAC,26,20.1,9.4,3.8,7.2,53.8,0,0.0,0,1.7,2.3,73.3,2.3,5.3,7.7,1.5,1.4,0.4,0.9,2.5,23.3,4,0,0.7,Ivica Zubac,89
2018-19,LAL,33,15.6,8.5,3.4,5.8,58.0,0,0.0,0,1.7,2.0,86.4,1.6,3.3,4.9,0.8,1.0,0.1,0.8,2.2,17.4,4,0,0.7,Ivica Zubac,89
2017-18,LAL,43,9.5,3.7,1.4,2.8,50.0,0,0.0,0,0.9,1.2,76.5,1.0,1.8,2.9,0.6,0.6,0.2,0.3,1.1,9.0,1,0,1.0,Ivica Zubac,89
2016-17,LAL,38,16.0,7.5,3.3,6.3,52.9,0,0.1,0,0.8,1.3,65.3,1.1,3.1,4.2,0.8,0.8,0.4,0.9,1.7,16.6,4,0,-3.5,Ivica Zubac,89
