By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,TOR,31,31.9,15.3,6.5,10.8,60.6,0,0.1,0,2.2,3.2,68.4,3.7,6.9,10.6,2.6,2.1,1.2,1.3,3.5,37.1,14,0,-3.6,Jakob Poeltl,87
2023-24,TOR,50,26.4,11.1,5.0,7.6,65.6,0,0.0,0,1.2,2.1,55.1,2.9,5.7,8.6,2.5,1.5,0.7,1.5,3.0,30.3,20,0,-0.3,Jakob Poeltl,87
2022-23,TOT,72,26.5,12.5,5.4,8.6,62.9,0,0.0,0,1.7,2.8,59.2,3.3,5.8,9.1,2.7,1.7,0.9,1.2,2.7,32.0,19,0,-2.0,Jakob Poeltl,87
2022-23,TOR,26,27.2,13.1,5.8,8.8,65.2,0,0.0,0,1.6,2.8,56.9,3.2,5.9,9.1,2.2,1.1,1.2,1.3,3.0,33.6,8,0,4.7,Jakob Poeltl,87
2022-23,SAS,46,26.1,12.1,5.2,8.4,61.6,0,0.0,0,1.7,2.8,60.5,3.3,5.7,9.0,3.1,2.1,0.8,1.1,2.6,31.2,11,0,-5.8,Jakob Poeltl,87
2021-22,SAS,68,29.0,13.5,6.0,9.8,61.8,0,0.0,100,1.4,2.8,49.5,3.9,5.5,9.3,2.8,1.6,0.7,1.7,3.1,34.4,28,0,1.7,Jakob Poeltl,87
2020-21,SAS,69,26.7,8.6,3.8,6.2,61.6,0,0.0,0,0.9,1.8,50.8,3.2,4.8,7.9,1.9,1.2,0.7,1.8,2.5,27.2,15,0,1.6,Jakob Poeltl,87
2019-20,SAS,66,17.7,5.6,2.5,4.0,62.4,0,0.0,0,0.6,1.3,46.5,2.0,3.7,5.7,1.8,0.8,0.6,1.4,1.9,20.3,4,0,1.8,Jakob Poeltl,87
2018-19,SAS,77,16.5,5.5,2.4,3.8,64.5,0,0.0,0,0.6,1.2,53.3,2.3,3.0,5.3,1.2,0.6,0.4,0.9,1.6,16.9,1,0,1.1,Jakob Poeltl,87
2017-18,TOR,82,18.6,6.9,3.1,4.7,65.9,0,0.0,50,0.7,1.2,59.4,2.0,2.8,4.8,0.7,1.0,0.5,1.2,2.6,17.8,4,0,3.0,Jakob Poeltl,87
2016-17,TOR,54,11.6,3.1,1.2,2.1,58.3,0,0.0,0,0.6,1.1,54.4,1.4,1.6,3.1,0.2,0.5,0.3,0.4,2.1,8.6,0,0,-0.1,Jakob Poeltl,87
