By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,POR,29,32.7,15.0,4.9,12.7,38.2,2.4,6.4,38.2,2.8,3.4,82.0,0.5,3.1,3.6,2.3,1.4,0.9,1.0,2.3,27.0,0,0,-8.4,Jerami Grant,91
2023-24,POR,54,33.9,21.0,7.1,15.7,45.1,2.1,5.1,40.2,4.7,5.8,81.7,0.7,2.9,3.5,2.8,2.1,0.8,0.6,2.2,31.7,1,0,-6.5,Jerami Grant,91
2022-23,POR,63,35.6,20.5,6.9,14.5,47.5,2.3,5.7,40.1,4.4,5.4,81.3,0.8,3.7,4.5,2.4,1.8,0.8,0.8,2.4,32.5,2,0,-0.6,Jerami Grant,91
2021-22,DET,47,31.9,19.2,6.3,14.9,42.6,1.9,5.4,35.8,4.6,5.5,83.8,0.6,3.5,4.1,2.4,1.8,0.9,1.0,2.3,31.8,1,0,-4.7,Jerami Grant,91
2020-21,DET,54,33.9,22.3,7.4,17.3,42.9,2.1,6.1,35.0,5.4,6.4,84.5,0.6,4.0,4.6,2.8,2.0,0.6,1.1,2.3,35.2,3,0,-2.2,Jerami Grant,91
2019-20,DEN,71,26.6,12.0,4.3,8.9,47.8,1.4,3.5,38.9,2.1,2.8,75.0,0.8,2.7,3.5,1.2,0.9,0.7,0.8,2.2,21.7,0,0,-1.2,Jerami Grant,91
2018-19,OKC,80,32.7,13.6,5.1,10.3,49.7,1.4,3.7,39.2,2.0,2.8,71.0,1.2,4.0,5.2,1.0,0.8,0.8,1.3,2.7,26.6,4,0,3.8,Jerami Grant,91
2017-18,OKC,81,20.3,8.4,3.0,5.6,53.5,0.4,1.4,29.1,2.0,3.0,67.5,1.1,2.9,3.9,0.7,0.7,0.4,1.0,1.9,17.5,2,0,0.2,Jerami Grant,91
2016-17,TOT,80,19.1,5.5,1.9,4.1,46.3,0.5,1.5,37.1,1.1,1.8,61.2,0.5,2.1,2.6,0.6,0.6,0.4,1.0,1.9,13.1,0,0,-2.3,Jerami Grant,91
2016-17,OKC,78,19.1,5.4,1.9,4.0,46.9,0.6,1.5,37.7,1.1,1.8,61.9,0.5,2.1,2.6,0.6,0.5,0.4,1.0,1.8,13.0,0,0,-2.2,Jerami Grant,91
2016-17,PHI,2,20.6,8.0,3.0,8.5,35.3,0.0,1.0,0.0,2.0,4.0,50.0,0.0,3.0,3.0,0.0,1.5,0.0,2.0,2.5,16.1,0,0,-7.0,Jerami Grant,91
2015-16,PHI,77,26.8,9.7,3.3,7.8,41.9,0.5,1.9,24.0,2.8,4.2,65.8,1.3,3.4,4.7,1.8,1.4,0.7,1.6,2.8,23.6,3,0,-6.4,Jerami Grant,91
2014-15,PHI,65,21.2,6.3,1.9,5.4,35.2,0.8,2.4,31.4,1.8,3.0,59.1,0.8,2.3,3.0,1.2,1.3,0.6,1.0,2.2,15.5,0,0,-2.7,Jerami Grant,91
