By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,MIA,22,30.8,17.6,5.8,10.5,55.2,0.5,1.5,37.5,5.4,6.9,78.8,2.3,3.2,5.5,4.7,1.2,1.2,0.4,1.0,34.8,2,1,3.1,Jimmy Butler,69
2023-24,MIA,60,34.0,20.8,6.6,13.2,49.9,1.0,2.4,41.4,6.6,7.7,85.8,1.8,3.6,5.3,5.0,1.7,1.3,0.3,1.1,37.7,5,1,3.6,Jimmy Butler,69
2022-23,MIA,64,33.4,22.9,7.5,13.9,53.9,0.6,1.6,35.0,7.4,8.7,85.0,2.2,3.7,5.9,5.3,1.6,1.8,0.3,1.3,42.8,11,0,0.7,Jimmy Butler,69
2021-22,MIA,57,33.9,21.4,7.0,14.5,48.0,0.5,2.0,23.3,6.9,8.0,87.0,1.8,4.1,5.9,5.5,2.1,1.6,0.5,1.5,40.9,12,4,4.3,Jimmy Butler,69
2020-21,MIA,52,33.6,21.5,7.0,14.2,49.7,0.5,2.0,24.5,6.9,8.0,86.3,1.8,5.1,6.9,7.1,2.1,2.1,0.3,1.4,45.6,17,4,3.8,Jimmy Butler,69
2019-20,MIA,58,33.8,19.9,5.9,13.1,45.5,0.5,2.1,24.4,7.6,9.1,83.4,1.8,4.8,6.7,6.0,2.2,1.8,0.6,1.4,41.8,11,3,4.4,Jimmy Butler,69
2018-19,TOT,65,33.6,18.7,6.4,13.9,46.2,1.0,3.0,34.7,4.8,5.6,85.5,1.9,3.4,5.3,4.0,1.5,1.9,0.6,1.7,37.1,3,0,2.5,Jimmy Butler,69
2018-19,PHI,55,33.2,18.2,6.3,13.6,46.1,0.9,2.7,33.8,4.8,5.5,86.8,1.9,3.4,5.3,4.0,1.5,1.8,0.5,1.7,36.1,3,0,4.0,Jimmy Butler,69
2018-19,MIN,10,36.1,21.3,7.4,15.7,47.1,1.7,4.5,37.8,4.8,6.1,78.7,1.6,3.6,5.2,4.3,1.4,2.4,1.0,1.8,42.8,0,0,-6.1,Jimmy Butler,69
2017-18,MIN,59,36.7,22.2,7.4,15.6,47.4,1.2,3.4,35.0,6.2,7.2,85.4,1.3,4.0,5.3,4.9,1.8,2.0,0.4,1.3,41.1,3,0,6.3,Jimmy Butler,69
2016-17,CHI,76,37.0,23.9,7.5,16.5,45.5,1.2,3.3,36.7,7.7,8.9,86.5,1.7,4.5,6.2,5.5,2.1,1.9,0.4,1.5,44.4,15,2,2.7,Jimmy Butler,69
2015-16,CHI,67,36.9,20.9,7.0,15.4,45.4,1.0,3.1,31.2,5.9,7.1,83.2,1.2,4.2,5.3,4.8,2.0,1.6,0.6,1.9,39.4,10,2,-0.2,Jimmy Butler,69
2014-15,CHI,65,38.7,20.0,6.5,14.0,46.2,1.1,3.0,37.8,5.9,7.1,83.4,1.8,4.1,5.8,3.3,1.4,1.8,0.6,1.7,37.4,4,0,3.7,Jimmy Butler,69
2013-14,CHI,67,38.7,13.1,4.1,10.3,39.7,1.0,3.6,28.3,3.9,5.0,76.9,1.3,3.6,4.9,2.6,1.5,1.9,0.5,1.6,28.7,5,0,2.8,Jimmy Butler,69
2012-13,CHI,82,26.0,8.6,2.9,6.2,46.7,0.5,1.3,38.1,2.3,2.8,80.3,1.7,2.3,4.0,1.4,0.8,1.0,0.4,1.2,18.7,4,0,0.7,Jimmy Butler,69
2011-12,CHI,42,8.5,2.6,0.8,1.9,40.5,0.0,0.3,18.2,1.0,1.3,76.8,0.5,0.8,1.3,0.3,0.3,0.3,0.1,0.5,5.5,0,0,1.9,Jimmy Butler,69
