By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,MIN,36,33.0,19.5,6.7,14.1,47.5,1.7,4.8,35.8,4.4,5.4,82.0,1.9,5.0,6.9,4.4,3.0,0.7,0.2,2.5,34.0,6,0,1.3,Julius Randle,47
2023-24,NYK,46,35.4,24.0,8.6,18.2,47.2,1.7,5.3,31.1,5.1,6.6,78.1,2.2,7.0,9.2,5.0,3.5,0.5,0.3,2.7,41.4,18,1,4.7,Julius Randle,47
2022-23,NYK,77,35.5,25.1,8.5,18.6,45.9,2.8,8.3,34.3,5.2,6.9,75.7,1.8,8.1,10.0,4.1,2.8,0.6,0.3,3.0,43.2,40,0,2.2,Julius Randle,47
2021-22,NYK,72,35.3,20.1,7.1,17.3,41.1,1.7,5.4,30.8,4.2,5.6,75.6,1.7,8.2,9.9,5.1,3.4,0.7,0.5,2.8,40.2,31,1,-2.3,Julius Randle,47
2020-21,NYK,71,37.6,24.1,8.5,18.6,45.6,2.3,5.5,41.1,4.9,6.0,81.1,1.2,9.0,10.2,6.0,3.4,0.9,0.3,3.2,45.4,41,6,2.2,Julius Randle,47
2019-20,NYK,64,32.5,19.5,7.2,15.7,46.0,1.0,3.6,27.7,4.0,5.5,73.3,2.4,7.4,9.7,3.1,3.0,0.8,0.3,2.8,36.2,30,0,-3.8,Julius Randle,47
2018-19,NOP,73,30.6,21.4,7.8,14.9,52.4,0.9,2.7,34.4,4.9,6.7,73.1,2.2,6.5,8.7,3.1,2.8,0.7,0.6,3.4,37.7,31,1,-0.2,Julius Randle,47
2017-18,LAL,82,26.7,16.1,6.1,11.0,55.8,0.1,0.5,22.2,3.7,5.2,71.8,2.2,5.8,8.0,2.6,2.6,0.5,0.5,3.3,30.2,28,1,-1.0,Julius Randle,47
2016-17,LAL,74,28.8,13.2,5.1,10.4,48.8,0.2,0.9,27.0,2.8,3.8,72.3,2.0,6.6,8.6,3.6,2.3,0.7,0.5,3.4,30.0,18,3,-6.1,Julius Randle,47
2015-16,LAL,81,28.2,11.3,4.4,10.3,42.9,0.1,0.4,27.8,2.4,3.3,71.5,2.1,8.1,10.2,1.8,1.8,0.7,0.4,3.0,27.5,34,1,-8.4,Julius Randle,47
2014-15,LAL,1,13.6,2.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,-18.0,Julius Randle,47
