By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,DAL,32,27.8,14.2,5.1,12.2,41.4,3.1,7.9,38.7,1.0,1.1,91.4,0.6,2.8,3.4,1.9,1.3,0.9,0.4,1.3,23.9,0,0,4.6,Klay Thompson,97
2023-24,GSW,77,29.7,17.9,6.4,14.7,43.2,3.5,9.0,38.7,1.6,1.8,92.7,0.5,2.8,3.3,2.3,1.5,0.6,0.5,1.6,27.0,0,0,0.1,Klay Thompson,97
2022-23,GSW,69,33.0,21.9,7.9,18.1,43.6,4.4,10.6,41.2,1.7,1.9,87.9,0.6,3.6,4.1,2.4,1.8,0.7,0.4,1.9,32.0,2,0,2.4,Klay Thompson,97
2021-22,GSW,32,29.4,20.4,7.7,17.9,42.9,3.6,9.3,38.5,1.4,1.6,90.2,0.5,3.4,3.9,2.8,1.3,0.5,0.5,1.7,30.9,0,0,2.1,Klay Thompson,97
2018-19,GSW,78,34.0,21.5,8.4,18.0,46.7,3.1,7.7,40.2,1.7,2.0,81.6,0.5,3.4,3.8,2.4,1.5,1.1,0.6,2.0,33.3,0,0,4.5,Klay Thompson,97
2017-18,GSW,73,34.3,20.0,7.9,16.1,48.9,3.1,7.1,44.0,1.1,1.3,83.7,0.4,3.4,3.8,2.5,1.8,0.8,0.5,1.6,30.3,2,0,5.4,Klay Thompson,97
2016-17,GSW,78,34.0,22.3,8.3,17.6,46.8,3.4,8.3,41.4,2.4,2.8,85.3,0.6,3.0,3.7,2.1,1.6,0.8,0.5,1.8,32.2,0,0,10.3,Klay Thompson,97
2015-16,GSW,80,33.3,22.1,8.1,17.3,47.0,3.5,8.1,42.5,2.4,2.8,87.3,0.4,3.4,3.8,2.1,1.7,0.8,0.6,1.9,32.2,0,0,10.5,Klay Thompson,97
2014-15,GSW,77,31.9,21.7,7.8,16.9,46.3,3.1,7.1,43.9,2.9,3.3,87.9,0.4,2.9,3.2,2.9,1.9,1.1,0.8,1.6,33.6,1,0,10.1,Klay Thompson,97
2013-14,GSW,81,35.4,18.4,6.9,15.5,44.4,2.8,6.6,41.7,1.8,2.3,79.5,0.5,2.6,3.1,2.2,1.7,0.9,0.5,2.9,27.9,1,0,6.6,Klay Thompson,97
2012-13,GSW,82,35.8,16.6,6.2,14.7,42.2,2.6,6.4,40.1,1.6,1.9,84.1,0.4,3.3,3.7,2.2,1.9,1.0,0.5,2.9,27.3,0,0,1.3,Klay Thompson,97
2011-12,GSW,66,24.4,12.5,4.8,10.9,44.3,1.7,4.1,41.4,1.2,1.4,86.8,0.4,2.1,2.4,2.0,1.6,0.7,0.3,2.3,20.0,0,0,-2.0,Klay Thompson,97
