By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,BOS,14,27.9,18.3,6.1,13.3,45.7,1.9,5.6,32.9,4.3,5.1,84.5,1.8,5.0,6.8,1.7,1.0,0.8,1.4,2.4,34.4,1,0,2.6,Kristaps Porzingis,65
2023-24,BOS,57,29.6,20.1,6.8,13.2,51.6,1.9,5.1,37.5,4.5,5.3,85.8,1.7,5.5,7.2,2.0,1.6,0.7,1.9,2.7,38.2,13,0,7.3,Kristaps Porzingis,65
2022-23,WAS,65,32.6,23.2,7.8,15.7,49.8,2.1,5.5,38.5,5.4,6.4,85.1,1.8,6.6,8.4,2.7,2.1,0.9,1.5,3.0,42.4,20,0,1.2,Kristaps Porzingis,65
2021-22,TOT,51,29.0,20.2,6.9,15.0,45.9,1.5,4.9,31.0,4.9,5.6,86.7,2.0,6.1,8.1,2.3,1.6,0.7,1.6,2.7,38.9,15,0,0.6,Kristaps Porzingis,65
2021-22,WAS,17,28.2,22.1,7.2,15.2,47.5,1.7,4.6,36.7,5.9,6.8,87.1,2.2,6.6,8.8,2.9,1.6,0.7,1.5,2.9,42.0,6,0,-0.9,Kristaps Porzingis,65
2021-22,DAL,34,29.5,19.2,6.7,14.9,45.1,1.4,5.1,28.3,4.3,5.0,86.5,1.9,5.8,7.7,2.0,1.6,0.7,1.7,2.6,37.3,9,0,1.4,Kristaps Porzingis,65
2020-21,DAL,43,30.9,20.1,7.6,15.9,47.6,2.3,6.0,37.6,2.7,3.2,85.5,1.9,7.0,8.9,1.6,1.2,0.5,1.3,2.7,37.4,16,0,0.2,Kristaps Porzingis,65
2019-20,DAL,57,31.8,20.4,7.0,16.4,42.7,2.5,7.1,35.2,4.0,5.0,79.9,1.8,7.7,9.5,1.8,1.6,0.7,2.0,3.2,41.1,25,0,4.7,Kristaps Porzingis,65
2017-18,NYK,48,32.4,22.7,8.1,18.5,43.9,1.9,4.8,39.5,4.5,5.7,79.3,1.3,5.3,6.6,1.2,1.9,0.8,2.4,2.9,39.8,5,0,0.3,Kristaps Porzingis,65
2016-17,NYK,66,32.8,18.1,6.7,14.9,45.0,1.7,4.8,35.7,3.0,3.8,78.6,1.7,5.5,7.2,1.5,1.8,0.7,2.0,3.7,35.2,12,0,-1.5,Kristaps Porzingis,65
2015-16,NYK,72,28.4,14.3,5.2,12.3,42.1,1.1,3.4,33.3,2.8,3.3,83.8,1.8,5.5,7.3,1.3,1.7,0.7,1.9,2.8,31.1,21,0,0.2,Kristaps Porzingis,65
