By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,DEN,29,36.9,30.7,11.7,20.8,56.1,2.2,4.6,49.2,5.1,6.4,80.1,3.4,9.6,13.0,9.7,3.3,1.7,0.6,2.0,64.4,23,14,9.3,Nikola Jokic,3
2023-24,DEN,79,34.6,26.4,10.4,17.9,58.3,1.1,2.9,35.9,4.5,5.5,81.7,2.8,9.5,12.4,9.0,3.0,1.4,0.9,2.5,58.3,68,25,8.6,Nikola Jokic,3
2022-23,DEN,69,33.7,24.5,9.4,14.8,63.2,0.8,2.2,38.3,4.9,6.0,82.2,2.4,9.4,11.8,9.8,3.6,1.3,0.7,2.5,55.7,58,29,9.3,Nikola Jokic,3
2021-22,DEN,74,33.5,27.1,10.3,17.7,58.3,1.3,3.9,33.7,5.1,6.3,81.0,2.8,11.0,13.8,7.9,3.8,1.5,0.9,2.6,58.6,66,19,6.0,Nikola Jokic,3
2020-21,DEN,72,34.6,26.4,10.2,18.0,56.6,1.3,3.3,38.8,4.8,5.5,86.8,2.8,8.0,10.8,8.3,3.1,1.3,0.7,2.7,54.7,60,16,5.3,Nikola Jokic,3
2019-20,DEN,73,32.0,19.9,7.7,14.7,52.8,1.1,3.5,31.4,3.4,4.1,81.7,2.3,7.5,9.7,7.0,3.1,1.2,0.6,3.0,44.4,43,13,3.5,Nikola Jokic,3
2018-19,DEN,80,31.3,20.1,7.7,15.1,51.1,1.0,3.4,30.7,3.6,4.4,82.1,2.9,8.0,10.8,7.3,3.1,1.4,0.7,2.9,46.9,56,12,3.9,Nikola Jokic,3
2017-18,DEN,75,32.6,18.5,6.7,13.5,49.9,1.5,3.7,39.6,3.5,4.2,85.0,2.6,8.1,10.7,6.1,2.8,1.2,0.8,2.8,43.7,38,10,4.7,Nikola Jokic,3
2016-17,DEN,73,27.9,16.7,6.8,11.7,57.8,0.6,1.9,32.4,2.6,3.1,82.5,2.9,6.9,9.8,4.9,2.3,0.8,0.8,2.9,38.3,39,6,4.1,Nikola Jokic,3
2015-16,DEN,80,21.7,10.0,3.8,7.5,51.2,0.4,1.1,33.3,1.9,2.4,81.1,2.3,4.7,7.0,2.4,1.3,1.0,0.6,2.6,25.4,16,0,1.2,Nikola Jokic,3
