By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,LAC,26,33.3,24.3,8.4,17.2,49.0,3.7,8.3,45.1,3.7,4.3,85.0,0.3,3.0,3.3,2.5,2.1,1.3,0.2,2.0,34.3,1,0,2.5,Norman Powell,23
2023-24,LAC,76,26.2,13.9,4.9,10.1,48.6,2.2,5.1,43.5,1.9,2.3,83.1,0.2,2.4,2.6,1.1,0.9,0.6,0.3,1.8,20.3,0,0,2.8,Norman Powell,23
2022-23,LAC,60,26.1,17.0,5.7,11.8,47.9,1.9,4.8,39.7,3.8,4.6,81.2,0.4,2.5,2.9,1.8,1.7,0.8,0.3,2.1,24.9,0,0,-2.1,Norman Powell,23
2021-22,TOT,45,32.4,19.0,6.2,13.4,46.1,2.4,5.6,41.9,4.2,5.2,81.1,0.4,2.8,3.2,2.1,1.5,0.9,0.5,2.4,28.7,0,0,-4.9,Norman Powell,23
2021-22,LAC,5,25.1,21.4,6.4,12.6,50.8,2.6,4.8,54.2,6.0,7.0,85.7,0.6,2.2,2.8,2.8,1.4,0.4,0.8,2.8,31.2,0,0,-2.6,Norman Powell,23
2021-22,POR,40,33.3,18.7,6.2,13.6,45.6,2.3,5.7,40.6,4.0,5.0,80.3,0.4,2.9,3.3,2.1,1.6,1.0,0.4,2.3,28.4,0,0,-5.2,Norman Powell,23
2020-21,TOT,69,32.0,18.6,6.3,13.3,47.7,2.5,6.0,41.1,3.4,3.9,87.1,0.6,2.5,3.1,1.9,1.7,1.2,0.3,2.3,27.8,0,0,1.1,Norman Powell,23
2020-21,POR,27,34.4,17.0,5.8,13.0,44.3,2.0,5.4,36.1,3.5,4.0,88.0,0.9,2.4,3.3,1.9,1.6,1.3,0.4,2.3,27.3,0,0,3.6,Norman Powell,23
2020-21,TOR,42,30.4,19.6,6.7,13.5,49.8,2.8,6.4,43.9,3.4,3.9,86.5,0.5,2.5,3.0,1.8,1.8,1.1,0.2,2.3,28.0,0,0,-0.5,Norman Powell,23
2019-20,TOR,52,28.4,16.0,5.7,11.5,49.5,2.1,5.3,39.9,2.5,2.9,84.3,0.5,3.2,3.7,1.8,1.5,1.2,0.4,2.1,26.2,0,0,2.8,Norman Powell,23
2018-19,TOR,60,18.8,8.6,3.2,6.7,48.3,1.1,2.8,40.0,1.0,1.3,82.7,0.3,2.1,2.3,1.5,1.1,0.7,0.2,1.6,15.2,0,0,0.3,Norman Powell,23
2017-18,TOR,70,15.2,5.5,2.1,5.3,40.1,0.8,2.7,28.5,0.5,0.6,82.1,0.2,1.5,1.7,1.3,0.9,0.5,0.2,1.6,10.8,0,0,-0.3,Norman Powell,23
2016-17,TOR,76,18.0,8.4,3.0,6.7,44.9,0.7,2.3,32.4,1.7,2.1,79.2,0.3,1.9,2.2,1.1,0.9,0.7,0.2,1.7,14.3,0,0,1.1,Norman Powell,23
2015-16,TOR,49,14.8,5.6,2.0,4.7,42.4,0.7,1.8,40.4,0.9,1.1,81.1,0.3,1.9,2.3,1.0,0.7,0.6,0.2,1.2,11.5,0,0,1.3,Norman Powell,23
