By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,NYK,37,36.5,16.3,6.2,13.1,47.4,2.1,5.9,34.9,1.8,2.3,78.8,1.2,3.7,4.9,1.9,1.3,1.4,0.9,2.4,30.9,0,0,6.2,OG Anunoby,78
2023-24,TOT,50,34.0,14.7,5.6,11.5,48.9,2.0,5.3,38.2,1.3,1.8,75.3,0.9,3.2,4.2,2.1,1.6,1.4,0.7,2.4,27.5,0,0,7.8,OG Anunoby,78
2023-24,NYK,23,34.9,14.1,5.4,11.1,48.8,1.8,4.5,39.4,1.5,1.9,79.1,1.0,3.4,4.4,1.5,1.7,1.7,1.0,2.5,28.3,0,0,15.3,OG Anunoby,78
2023-24,TOR,27,33.3,15.1,5.8,11.9,48.9,2.3,6.0,37.4,1.2,1.7,71.7,0.9,3.0,3.9,2.7,1.6,1.0,0.5,2.3,26.8,0,0,1.4,OG Anunoby,78
2022-23,TOR,67,35.6,16.8,6.3,13.2,47.6,2.1,5.5,38.7,2.1,2.5,83.8,1.4,3.5,5.0,2.0,2.0,1.9,0.7,3.0,31.7,2,0,2.0,OG Anunoby,78
2021-22,TOR,48,36.0,17.1,6.4,14.5,44.3,2.4,6.6,36.3,1.9,2.5,75.4,1.5,4.0,5.5,2.6,1.7,1.5,0.5,2.7,32.0,3,0,2.8,OG Anunoby,78
2020-21,TOR,43,33.3,15.9,5.8,12.1,48.0,2.4,6.1,39.8,1.9,2.4,78.4,1.3,4.3,5.5,2.2,1.7,1.5,0.7,2.7,30.8,3,0,2.7,OG Anunoby,78
2019-20,TOR,69,29.9,10.6,4.1,8.2,50.5,1.3,3.3,39.0,1.0,1.5,70.6,1.2,4.1,5.3,1.6,1.1,1.4,0.7,2.4,24.3,5,0,4.0,OG Anunoby,78
2018-19,TOR,67,20.2,7.0,2.7,6.0,45.3,1.0,3.0,33.2,0.5,0.9,58.1,0.9,2.1,2.9,0.7,0.8,0.7,0.3,2.1,13.8,0,0,-0.7,OG Anunoby,78
2017-18,TOR,74,20.0,5.9,2.2,4.7,47.1,1.0,2.7,37.1,0.5,0.8,62.9,0.6,1.9,2.5,0.7,0.6,0.7,0.2,1.8,12.1,0,0,4.0,OG Anunoby,78
