By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,IND,37,33.4,19.6,7.5,14.5,51.6,1.9,4.4,42.3,2.8,3.7,76.5,1.6,5.7,7.3,3.4,1.3,0.9,0.3,2.8,35.6,6,0,1.6,Pascal Siakam,49
2023-24,TOT,80,33.2,21.7,8.5,15.9,53.6,1.1,3.1,34.6,3.6,5.0,73.2,1.7,5.3,7.1,4.3,1.8,0.8,0.3,2.4,38.1,15,1,1.4,Pascal Siakam,49
2023-24,IND,41,31.8,21.3,8.7,15.8,54.9,1.0,2.5,38.6,3.0,4.2,69.9,2.1,5.7,7.8,3.7,1.4,0.8,0.4,2.6,38.1,10,1,2.5,Pascal Siakam,49
2023-24,TOR,39,34.7,22.2,8.3,16.0,52.2,1.2,3.7,31.7,4.3,5.7,75.8,1.4,4.9,6.3,4.9,2.1,0.8,0.3,2.2,38.2,5,0,0.2,Pascal Siakam,49
2022-23,TOR,71,37.4,24.2,8.9,18.5,48.0,1.3,4.0,32.4,5.2,6.7,77.4,1.8,6.0,7.8,5.8,2.4,0.9,0.5,3.2,44.3,24,2,1.7,Pascal Siakam,49
2021-22,TOR,68,37.9,22.8,8.8,17.8,49.4,1.1,3.2,34.4,4.2,5.6,74.9,1.9,6.6,8.5,5.3,2.7,1.3,0.6,3.3,43.9,30,2,3.8,Pascal Siakam,49
2020-21,TOR,56,35.8,21.4,7.8,17.2,45.5,1.3,4.4,29.7,4.4,5.4,82.7,1.7,5.5,7.2,4.5,2.3,1.1,0.7,3.1,39.8,13,1,2.3,Pascal Siakam,49
2019-20,TOR,60,35.2,22.9,8.3,18.4,45.3,2.2,6.1,35.9,4.0,5.1,79.2,1.1,6.3,7.3,3.5,2.5,1.0,0.9,2.8,40.0,12,0,6.6,Pascal Siakam,49
2018-19,TOR,80,31.8,16.9,6.5,11.8,54.9,1.0,2.7,36.9,3.0,3.8,78.5,1.6,5.3,6.9,3.1,1.9,0.9,0.7,3.0,32.6,18,0,7.4,Pascal Siakam,49
2017-18,TOR,81,20.7,7.3,3.1,6.1,50.8,0.4,1.6,22.0,0.7,1.1,62.1,1.0,3.5,4.5,2.0,0.8,0.8,0.5,2.0,18.6,0,0,3.7,Pascal Siakam,49
2016-17,TOR,55,15.6,4.2,1.9,3.7,50.2,0.0,0.1,14.3,0.4,0.6,68.8,1.2,2.2,3.4,0.3,0.6,0.5,0.8,2.0,11.9,0,0,-0.9,Pascal Siakam,49
