By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,PHI,24,32.0,16.2,5.8,14.1,41.4,2.2,6.5,33.5,2.3,2.9,81.2,0.7,4.9,5.6,4.6,2.6,1.8,0.4,2.5,33.8,1,0,-1.3,Paul George,80
2023-24,LAC,74,33.8,22.6,7.9,16.7,47.1,3.3,7.9,41.3,3.6,3.9,90.7,0.5,4.7,5.2,3.5,2.1,1.5,0.5,2.7,38.2,3,0,6.2,Paul George,80
2022-23,LAC,56,34.6,23.8,8.2,17.9,45.7,2.8,7.6,37.1,4.6,5.3,87.1,0.8,5.3,6.1,5.1,3.1,1.5,0.4,2.8,41.2,8,1,2.8,Paul George,80
2021-22,LAC,31,34.8,24.3,8.6,20.5,42.1,2.9,8.3,35.4,4.1,4.8,85.8,0.4,6.5,6.9,5.7,4.1,2.2,0.4,2.4,44.8,7,0,3.0,Paul George,80
2020-21,LAC,54,33.7,23.3,8.2,17.6,46.7,3.2,7.7,41.1,3.7,4.2,86.8,0.8,5.8,6.6,5.2,3.3,1.1,0.4,2.4,40.5,9,0,8.0,Paul George,80
2019-20,LAC,48,29.6,21.5,7.1,16.3,43.9,3.3,7.9,41.2,4.0,4.5,87.6,0.5,5.2,5.7,3.9,2.6,1.4,0.4,2.4,37.0,5,0,5.4,Paul George,80
2018-19,OKC,77,36.9,28.0,9.2,21.0,43.8,3.8,9.8,38.6,5.9,7.0,83.9,1.4,6.8,8.2,4.1,2.7,2.2,0.4,2.8,49.3,24,1,6.4,Paul George,80
2017-18,OKC,79,36.6,21.9,7.3,17.0,43.0,3.1,7.7,40.1,4.3,5.2,82.2,0.9,4.7,5.7,3.3,2.7,2.0,0.5,2.9,38.6,4,0,2.9,Paul George,80
2016-17,IND,75,35.9,23.7,8.3,18.0,46.1,2.6,6.6,39.3,4.5,5.0,89.8,0.8,5.8,6.6,3.3,2.9,1.6,0.4,2.7,39.5,11,0,2.2,Paul George,80
2015-16,IND,81,34.8,23.1,7.5,17.9,41.8,2.6,7.0,37.1,5.6,6.5,86.0,1.0,6.0,7.0,4.1,3.3,1.9,0.4,2.8,41.0,15,0,2.2,Paul George,80
2014-15,IND,6,15.2,8.8,3.0,8.2,36.7,1.5,3.7,40.9,1.3,1.8,72.7,0.7,3.0,3.7,1.0,2.0,0.8,0.2,1.8,15.7,0,0,2.5,Paul George,80
2013-14,IND,80,36.2,21.7,7.2,17.0,42.4,2.3,6.3,36.4,5.0,5.8,86.4,0.8,6.0,6.8,3.5,2.8,1.9,0.3,2.5,38.8,12,1,4.6,Paul George,80
2012-13,IND,79,37.6,17.4,6.2,14.9,41.9,2.2,5.9,36.2,2.8,3.5,80.7,1.1,6.5,7.6,4.1,2.9,1.8,0.6,2.9,37.2,23,1,4.6,Paul George,80
2011-12,IND,66,29.7,12.1,4.3,9.7,44.0,1.4,3.5,38.5,2.2,2.8,80.2,0.8,4.8,5.6,2.4,1.8,1.6,0.6,2.9,27.3,2,0,3.7,Paul George,80
2010-11,IND,61,20.7,7.8,2.9,6.5,45.3,0.7,2.3,29.7,1.3,1.7,76.2,0.6,3.1,3.7,1.1,1.1,1.0,0.4,2.1,17.0,0,0,-0.1,Paul George,80
