By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,CHI,31,33.6,23.1,8.3,16.4,50.9,3.3,7.4,44.7,3.2,3.9,81.7,0.3,4.4,4.6,4.5,2.9,0.9,0.3,1.6,35.8,2,0,0.1,Zach LaVine,29
2023-24,CHI,25,34.9,19.5,6.8,15.0,45.2,2.4,6.8,34.9,3.5,4.1,85.4,0.3,4.8,5.2,3.9,2.1,0.8,0.3,2.3,33.0,1,0,-3.7,Zach LaVine,29
2022-23,CHI,77,35.9,24.8,8.7,18.0,48.5,2.6,7.1,37.5,4.7,5.6,84.8,0.5,3.9,4.5,4.2,2.5,0.9,0.2,2.1,37.5,2,0,0.2,Zach LaVine,29
2021-22,CHI,67,34.7,24.4,8.4,17.7,47.6,2.8,7.1,38.9,4.8,5.6,85.3,0.3,4.3,4.6,4.5,2.6,0.6,0.3,1.8,37.0,0,0,-0.4,Zach LaVine,29
2020-21,CHI,58,35.1,27.4,9.8,19.4,50.7,3.4,8.2,41.9,4.4,5.1,84.9,0.6,4.4,5.0,4.9,3.5,0.8,0.5,2.4,41.0,3,0,-0.2,Zach LaVine,29
2019-20,CHI,60,34.8,25.5,9.0,20.0,45.0,3.1,8.1,38.0,4.5,5.6,80.2,0.7,4.1,4.8,4.2,3.4,1.5,0.5,2.2,40.0,2,0,-3.2,Zach LaVine,29
2018-19,CHI,63,34.5,23.7,8.4,18.0,46.7,1.9,5.1,37.4,5.0,6.0,83.2,0.6,4.0,4.7,4.5,3.4,1.0,0.4,2.2,36.7,2,0,-4.8,Zach LaVine,29
2017-18,CHI,24,27.3,16.7,5.7,14.8,38.3,1.8,5.1,34.1,3.6,4.5,81.3,0.4,3.5,3.9,3.0,1.8,1.0,0.2,2.3,27.6,0,0,-7.2,Zach LaVine,29
2016-17,MIN,47,37.2,18.9,6.9,15.1,45.9,2.6,6.6,38.7,2.5,3.0,83.6,0.4,3.0,3.4,3.0,1.8,0.9,0.2,2.2,28.9,0,0,-2.5,Zach LaVine,29
2015-16,MIN,82,28.0,14.0,5.3,11.7,45.2,1.5,3.9,38.9,2.0,2.5,79.3,0.3,2.5,2.8,3.1,1.9,0.8,0.2,2.4,23.2,0,0,-3.6,Zach LaVine,29
2014-15,MIN,77,24.7,10.1,3.7,8.8,42.2,0.7,2.2,34.1,1.9,2.3,84.2,0.4,2.4,2.8,3.6,2.5,0.7,0.1,2.1,18.8,4,0,-7.0,Zach LaVine,29
