By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,GSW,32,29.0,2.5,2.2,2.2,6.6,10.5,7.8,9.3,26.7,0.8,1.1,1.8,2.6,Andrew Wiggins,76
2023-24,GSW,71,27.0,1.4,1.6,1.4,6.1,10.4,8.3,8.4,28.2,0.6,0.6,2.1,2.3,Andrew Wiggins,76
2022-23,GSW,37,32.2,3.1,2.1,2.0,6.8,11.5,8.9,9.4,32.9,0.8,0.6,2.9,2.2,Andrew Wiggins,76
2021-22,GSW,73,31.9,2.4,1.9,1.8,6.9,10.8,8.4,8.3,29.5,0.7,0.6,2.2,2.9,Andrew Wiggins,76
2020-21,GSW,71,33.3,2.9,2.2,2.3,8.1,12.2,9.7,9.6,31.9,1.0,0.6,2.2,3.0,Andrew Wiggins,76
2019-20,TOT,54,34.4,3.1,1.6,1.6,10.4,13.5,9.5,10,34.5,1.0,1.0,2.4,3.9,Andrew Wiggins,76
2019-20,GSW,12,33.6,3.8,1.2,3.4,9.3,14.8,10.1,12.3,34.8,1.4,0.9,2.2,4.3,Andrew Wiggins,76
2019-20,MIN,42,34.7,3.0,1.8,1.1,10.7,13.2,9.3,9.3,34.4,0.9,1.1,2.4,3.8,Andrew Wiggins,76
2018-19,MIN,73,34.8,2.4,1.7,1.9,7.4,11.1,11.1,9.8,35.4,0.7,1.2,2.1,3.1,Andrew Wiggins,76
2017-18,MIN,82,36.3,2.8,1.9,1.8,8.2,11.1,9.7,9.9,33.8,0.6,0.8,2.0,2.9,Andrew Wiggins,76
2016-17,MIN,82,37.2,3.3,2.5,2.7,9.3,13.5,10,10.9,35.5,0.4,1.2,2.2,4.8,Andrew Wiggins,76
2015-16,MIN,81,35.1,3.4,2.3,2.6,9.4,12.3,9.5,9.9,33.6,0.6,1.1,2.0,4.9,Andrew Wiggins,76
2014-15,MIN,82,36.2,3.3,2.4,2.2,7.8,13.1,11.6,10.9,36,0.6,0.8,2.3,4.6,Andrew Wiggins,76
