By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,LAL,31,34.7,4.2,3.5,2.3,14.8,12,11.4,12.1,37,2.0,0.9,1.9,5.9,Anthony Edwards,16
2023-24,LAL,76,35.5,3.6,4.5,1.9,15.7,12,10.6,11.6,36.4,2.3,1.1,2.3,5.4,Anthony Edwards,16
2022-23,LAL,56,34.0,3.3,5.1,1.8,15.8,11.4,8.9,11.3,35.6,2.0,1.0,2.6,5.9,Anthony Edwards,16
2021-22,LAL,40,35.1,3.7,3.4,2.2,14.3,13.4,9,11.6,36.6,2.3,0.5,2.4,5.1,Anthony Edwards,16
2020-21,LAL,36,32.3,2.8,2.5,1.8,11.7,10.6,7.1,8.8,32.4,1.6,0.7,1.7,4.9,Anthony Edwards,16
2019-20,LAL,62,34.4,4.1,3.4,3.2,12.6,12.8,8.3,12.6,33,2.3,0.7,2.5,6.5,Anthony Edwards,16
2018-19,NOP,56,33.0,4.4,4.8,2.8,14.3,11.7,8.7,10.6,33.8,2.4,0.7,2.4,6.6,Anthony Edwards,16
2017-18,NOP,75,36.4,4.2,4.5,3.6,15.4,12.2,10.6,10.9,34.8,2.6,0.6,2.1,7.4,Anthony Edwards,16
2016-17,NOP,75,36.1,3.5,3.8,2.2,12.9,12,8.8,9.6,31.9,2.2,0.7,2.2,6.9,Anthony Edwards,16
2015-16,NOP,61,35.5,3.3,3.2,2.2,11.0,10.7,8.4,9,31.7,2.0,0.9,2.4,5.9,Anthony Edwards,16
2014-15,NOP,68,36.1,3.6,3.6,2.6,12.0,10.6,9.2,9.7,34.7,2.9,0.8,2.1,5.5,Anthony Edwards,16
2013-14,NOP,67,35.2,3.6,4.1,2.9,11.2,11.6,9.7,9.4,32.5,2.8,1.0,3.0,5.4,Anthony Edwards,16
2012-13,NOH,64,28.8,2.6,3.0,1.7,8.9,10.6,7.4,8.6,26.8,1.8,0.7,2.5,3.2,Anthony Edwards,16
