By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,NOP,23,33.7,4.2,1.5,2.7,9.0,13.8,10.9,12.1,37.4,0.5,0.9,2.3,2.7,CJ McCollum,36
2023-24,NOP,66,32.7,3.1,1.7,3.3,5.7,9.9,8.3,9,32.1,0.6,0.6,1.9,1.7,CJ McCollum,36
2022-23,NOP,75,35.3,2.2,1.6,2.6,6.9,12.7,9.7,10.6,37.5,0.5,0.8,2.0,2.4,CJ McCollum,36
2021-22,TOT,62,34.6,2.6,1.8,2.6,7.3,11.3,8.9,8.7,33.7,0.4,0.9,2.0,2.6,CJ McCollum,36
2021-22,NOP,26,33.8,2.8,2.1,3.5,8.4,11.2,9.8,8.3,33.6,0.0,1.0,1.7,3.2,CJ McCollum,36
2021-22,POR,36,35.2,2.4,1.6,2.0,6.5,11.4,8.3,9.1,33.8,0.6,0.8,2.1,2.2,CJ McCollum,36
2020-21,POR,47,34.0,2.8,1.7,2.4,6.1,9.1,8.9,9.3,33,0.4,0.6,1.9,2.5,CJ McCollum,36
2019-20,POR,70,36.5,2.8,1.2,3.2,7.6,10.6,12.2,11.1,36.6,0.6,0.8,2.6,2.0,CJ McCollum,36
2018-19,POR,70,33.9,2.5,1.8,2.7,7.0,10.4,9.9,9.7,34.1,0.4,0.9,2.5,2.4,CJ McCollum,36
2017-18,POR,81,36.1,2.8,1.6,2.0,7.1,10.6,8.5,8.9,32.1,0.4,1.2,2.1,2.6,CJ McCollum,36
2016-17,POR,80,34.9,2.8,2.0,2.2,6.9,11,9,8.7,30.7,0.5,1.0,2.5,2.9,CJ McCollum,36
2015-16,POR,80,34.7,3.1,1.5,2.2,6.0,11.5,8.6,8,29.2,0.3,1.1,2.3,2.6,CJ McCollum,36
2014-15,POR,62,15.7,1.4,0.5,1.1,2.0,4.9,3.9,4,12.8,0.1,0.4,1.3,1.0,CJ McCollum,36
2013-14,POR,38,12.5,0.9,0.8,0.6,1.4,4.5,3.9,3.2,10.9,0.1,0.3,1.4,0.7,CJ McCollum,36
