By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,MIL,24,36.3,2.0,1.0,1.9,6.3,13.5,9,12.6,36.5,0.2,0.9,1.9,5.2,Damian Lillard,14
2023-24,MIL,73,35.3,2.5,1.5,1.8,6.8,11.1,9.8,10.8,38.2,0.2,1.2,1.8,4.9,Damian Lillard,14
2022-23,POR,58,36.3,3.8,1.8,2.8,8.8,13,10.4,11.4,41.4,0.3,0.8,1.9,7.1,Damian Lillard,14
2021-22,POR,29,36.4,2.8,1.7,1.9,6.3,12.4,8,10.1,37.9,0.4,0.8,1.3,5.2,Damian Lillard,14
2020-21,POR,67,35.8,3.4,2.0,2.4,7.6,11.2,9.6,10.3,35.5,0.3,1.0,1.5,6.3,Damian Lillard,14
2019-20,POR,66,37.5,3.0,1.2,2.5,8.8,10.9,12.5,11.2,36.5,0.3,1.3,1.7,6.2,Damian Lillard,14
2018-19,POR,80,35.5,3.5,1.8,2.6,7.8,10.6,9.9,10.2,35.5,0.4,1.1,1.9,4.9,Damian Lillard,14
2017-18,POR,73,36.6,3.5,2.0,2.2,7.7,11.3,8.9,8.7,32.7,0.4,1.2,1.6,5.4,Damian Lillard,14
2016-17,POR,75,35.9,3.5,1.6,2.5,8.6,11.3,9.6,9.9,32.6,0.3,1.3,2.0,5.6,Damian Lillard,14
2015-16,POR,75,35.7,2.8,2.1,2.0,7.1,12.2,9.2,8.6,32.5,0.4,1.2,2.2,5.1,Damian Lillard,14
2014-15,POR,82,35.7,2.8,1.5,2.3,7.1,11.3,10.4,10.3,33,0.3,0.8,2.0,4.4,Damian Lillard,14
2013-14,POR,82,35.8,3.0,1.7,2.1,5.9,10.9,10.2,10.4,34.3,0.3,1.0,2.4,4.0,Damian Lillard,14
2012-13,POR,82,38.6,3.0,1.5,2.0,5.4,13.8,10.7,11.7,38.2,0.2,1.0,2.1,3.4,Damian Lillard,14
