By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,TOT,34,31.7,1.8,1.2,1.0,4.5,12.1,8.5,10.9,32.9,0.1,1.1,2.4,3.1,Dennis Smith Jr.,85
2024-25,GSW,11,27.9,0.2,1.0,0.5,2.4,10.2,8.3,9.8,29.5,0.1,1.4,2.4,2.3,Dennis Smith Jr.,85
2024-25,BKN,23,33.6,2.6,1.3,1.3,5.5,13,8.7,11.3,34.5,0.2,1.0,2.4,3.5,Dennis Smith Jr.,85
2023-24,TOT,80,31.1,1.8,1.1,1.0,4.8,9.7,9,9.3,33.1,0.2,0.8,2.1,2.3,Dennis Smith Jr.,85
2023-24,BKN,29,32.0,1.8,0.9,0.9,5.5,10.6,9.9,10.4,33.7,0.3,0.9,2.0,2.3,Dennis Smith Jr.,85
2023-24,TOR,51,30.6,1.8,1.2,1.0,4.4,9.2,8.5,8.6,32.7,0.2,0.8,2.1,2.3,Dennis Smith Jr.,85
2022-23,LAL,66,30.1,1.2,0.9,1.1,4.3,10,8.1,9.8,33.4,0.2,0.7,2.2,2.8,Dennis Smith Jr.,85
2021-22,TOT,64,28.7,2.3,1.2,1.1,5.2,9,7.6,6.7,26.7,0.1,0.8,2.4,2.9,Dennis Smith Jr.,85
2021-22,HOU,15,27.0,1.7,1.6,1.6,3.2,10.2,9.1,9.5,30.1,0.2,0.6,2.5,2.0,Dennis Smith Jr.,85
2021-22,BOS,49,29.2,2.5,1.1,1.0,5.8,8.6,7.1,5.9,25.6,0.1,0.9,2.4,3.1,Dennis Smith Jr.,85
2020-21,LAL,61,32.1,1.9,1.1,1.1,6.2,10.8,7.5,8.3,33.6,0.2,1.2,2.6,3.7,Dennis Smith Jr.,85
2019-20,OKC,65,30.8,3.4,1.3,1.7,6.5,10.4,8.2,6.7,30.3,0.2,0.8,2.2,3.1,Dennis Smith Jr.,85
2018-19,OKC,79,29.3,2.2,1.0,2.5,5.9,10,7.6,7.7,29.3,0.2,1.0,2.4,2.8,Dennis Smith Jr.,85
2017-18,ATL,67,31.0,3.7,0.9,1.5,8.0,11.8,8.7,8.7,30.1,0.1,1.7,2.2,4.0,Dennis Smith Jr.,85
2016-17,ATL,79,31.5,3.0,1.3,1.8,7.9,11.6,9.3,9.1,26.3,0.2,1.4,1.9,2.9,Dennis Smith Jr.,85
2015-16,ATL,80,20.3,1.9,0.8,1.1,4.5,6.3,5.4,4.4,16.2,0.1,0.9,1.7,2.2,Dennis Smith Jr.,85
2014-15,ATL,77,19.7,1.6,0.8,0.7,4.6,6.8,6.1,4.5,15.3,0.1,1.0,1.6,2.2,Dennis Smith Jr.,85
2013-14,ATL,49,13.1,0.7,0.4,0.6,2.0,5.5,3.6,3.7,11.7,0.0,0.3,1.1,1.2,Dennis Smith Jr.,85
