By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,BOS,35,34.3,2.2,1.9,1.8,4.1,9.3,9.4,10.5,34.5,1.3,0.5,2.1,2.3,Derrick White,71
2023-24,BOS,73,32.6,1.8,1.6,1.9,4.7,8.5,9.4,8.6,32.5,1.2,0.4,2.1,2.1,Derrick White,71
2022-23,BOS,82,28.3,1.7,1.5,1.4,4.5,8.5,7.5,7.2,28.6,0.9,0.4,2.2,2.5,Derrick White,71
2021-22,TOT,75,29.3,1.6,0.9,1.8,5.2,8.3,8.9,6.7,29.6,0.8,0.4,2.3,3.6,Derrick White,71
2021-22,BOS,26,27.4,1.1,0.5,1.3,4.2,7.5,7.6,6.3,26.8,0.6,0.4,2.2,3.2,Derrick White,71
2021-22,SAS,49,30.3,1.9,1.1,2.0,5.8,8.7,9.6,6.9,31.1,0.9,0.4,2.4,3.8,Derrick White,71
2020-21,SAS,36,29.5,2.3,1.4,1.5,5.0,8.7,8.3,6.2,29.9,1.0,0.8,2.5,3.2,Derrick White,71
2019-20,SAS,68,24.7,1.2,0.8,1.5,4.5,7.6,6.8,6,23.4,0.9,0.4,2.2,3.2,Derrick White,71
2018-19,SAS,67,25.8,1.4,0.6,1.2,4.8,7,6.8,6.5,23.2,0.7,0.5,2.2,2.1,Derrick White,71
2017-18,SAS,17,8.2,0.5,0.3,0.2,0.7,1.8,2.5,1.4,7.3,0.2,0.1,0.5,0.8,Derrick White,71
