By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,PHX,27,36.3,4.0,2.0,3.7,6.7,12.6,10.4,12.2,38,0.3,1.1,2.1,5.6,Devin Booker,17
2023-24,PHX,68,36.0,3.1,1.9,3.8,9.0,13,10.5,10.3,36.4,0.4,0.7,3.0,5.2,Devin Booker,17
2022-23,PHX,53,34.6,4.0,2.1,3.7,9.9,11.1,10.9,8.6,34.4,0.3,0.8,3.0,5.4,Devin Booker,17
2021-22,PHX,68,34.5,4.6,1.7,4.1,7.7,10.4,10.8,8.2,32.8,0.4,0.9,2.6,4.6,Devin Booker,17
2020-21,PHX,67,33.9,3.4,2.0,3.6,9.8,10.7,9.6,8.2,33.8,0.2,0.7,2.7,5.2,Devin Booker,17
2019-20,PHX,70,35.9,4.3,1.6,4.0,9.5,12.2,9.4,9.6,37.1,0.3,1.0,3.0,6.4,Devin Booker,17
2018-19,PHX,64,35.0,3.7,1.6,4.3,10.0,14.4,11.4,11.3,39.7,0.2,1.2,3.1,6.1,Devin Booker,17
2017-18,PHX,54,34.5,2.6,1.8,3.4,6.7,14.2,9.3,11.6,33.9,0.3,1.1,3.1,5.4,Devin Booker,17
2016-17,PHX,78,35.0,4.0,1.6,5.0,6.7,13.8,10,12.1,32.8,0.3,1.2,3.1,4.6,Devin Booker,17
2015-16,PHX,76,27.7,2.4,1.0,2.9,4.3,11.9,8,10.1,25.4,0.3,0.8,3.0,3.2,Devin Booker,17
