By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,SAC,34,35.9,3.6,4.2,1.5,13.1,12.9,9.3,8.7,32.5,0.5,1.1,3.6,4.2,Domantas Sabonis,41
2023-24,SAC,82,35.7,2.4,3.6,1.4,13.9,12,7.6,8.8,36.6,0.6,1.0,3.0,4.6,Domantas Sabonis,41
2022-23,SAC,79,34.6,2.6,3.3,1.4,12.9,11.7,8.8,8.5,38.9,0.5,0.8,3.5,4.7,Domantas Sabonis,41
2021-22,TOT,62,34.4,2.1,3.5,1.3,12.5,11.7,8.6,9.2,34.9,0.4,0.7,3.3,5.2,Domantas Sabonis,41
2021-22,SAC,15,33.6,2.9,2.2,1.2,13.5,12.7,7.9,10.1,33.9,0.3,0.6,3.8,4.8,Domantas Sabonis,41
2021-22,IND,47,34.7,1.8,3.9,1.3,12.3,11.4,8.8,9,35.2,0.5,0.8,3.1,5.4,Domantas Sabonis,41
2020-21,IND,62,36.0,3.1,2.8,1.8,13.0,12.3,10.4,10.3,39.6,0.5,0.9,3.3,4.8,Domantas Sabonis,41
2019-20,IND,62,34.8,2.6,2.9,0.7,12.2,10.2,8.5,9.7,33.5,0.5,0.9,3.1,4.9,Domantas Sabonis,41
2018-19,IND,74,24.8,2.1,3.0,0.7,9.6,7.4,5.7,7,22.8,0.4,0.4,3.2,3.9,Domantas Sabonis,41
2017-18,IND,74,24.5,1.8,1.7,0.8,7.5,8.4,6.3,6.3,22.4,0.4,0.6,3.0,2.9,Domantas Sabonis,41
2016-17,OKC,81,20.1,0.9,0.5,0.5,2.7,6.6,5,4,19.2,0.4,0.4,2.5,0.9,Domantas Sabonis,41
