By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,MIL,25,35.0,5.6,2.9,6.1,21.0,12.3,9.2,12,34.2,1.4,1.4,2.4,8.5,Giannis A,1
2023-24,MIL,73,35.2,3.9,3.7,5.5,20.3,10.6,9.5,8.9,37,1.1,1.2,2.9,8.3,Giannis A,1
2022-23,MIL,63,32.1,4.0,3.6,5.4,18.8,10,8.4,8.7,32.1,0.8,1.3,3.1,9.0,Giannis A,1
2021-22,MIL,67,32.9,4.0,3.2,4.3,15.9,10.3,8.1,6.6,28.3,1.4,0.9,3.2,8.8,Giannis A,1
2020-21,MIL,61,33.0,4.1,2.2,4.7,16.7,10.7,8.1,7,29.1,1.2,0.9,2.8,7.7,Giannis A,1
2019-20,MIL,63,30.4,4.7,3.4,6.0,17.5,9.2,6.6,7.7,22.9,1.0,1.1,3.1,8.2,Giannis A,1
2018-19,MIL,72,32.8,3.9,2.9,4.7,17.5,9.5,7.8,6.3,28,1.5,1.4,3.2,7.7,Giannis A,1
2017-18,MIL,75,36.7,4.2,3.0,4.7,15.7,11.3,9.5,7,34.4,1.4,1.1,3.1,6.8,Giannis A,1
2016-17,MIL,80,35.6,4.7,2.4,5.4,13.1,11.4,9.4,7.7,31.3,1.9,0.9,3.1,5.9,Giannis A,1
2015-16,MIL,80,35.3,3.9,2.1,4.0,10.5,12.5,10.5,9.3,32.1,1.4,0.8,3.2,4.1,Giannis A,1
2014-15,MIL,81,31.4,2.7,1.7,3.1,7.3,11.1,8.6,6.5,26.1,1.0,0.8,3.1,3.5,Giannis A,1
2013-14,MIL,77,24.6,1.5,1.1,1.7,3.2,8.6,6.8,6.3,20.8,0.8,0.4,2.2,2.2,Giannis A,1
