By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,LAC,36,32.2,2.3,3.5,0.4,13.3,13.7,7.9,11.3,30.5,1.2,0.8,2.0,3.3,Ivica Zubac,89
2023-24,LAC,68,26.4,1.3,2.6,0.4,9.9,8.2,7.1,7.4,24.9,1.2,0.6,2.6,2.0,Ivica Zubac,89
2022-23,LAC,76,28.5,1.2,2.5,0.5,8.5,10.6,7.4,9,29.4,1.3,0.6,2.9,2.8,Ivica Zubac,89
2021-22,LAC,76,24.4,1.1,2.5,0.6,8.1,8.3,6.9,6.9,25.3,1.0,0.6,2.7,2.7,Ivica Zubac,89
2020-21,LAC,72,22.3,0.7,2.3,0.5,7.1,7.8,5.2,6,21,0.9,0.7,2.6,2.3,Ivica Zubac,89
2019-20,LAC,72,18.4,1.1,2.5,0.9,6.1,5.9,4.3,5.3,15.6,0.9,0.4,2.3,1.8,Ivica Zubac,89
2018-19,TOT,59,17.6,1.2,1.7,0.9,7.0,6.7,4.2,5.8,18.6,0.9,0.8,2.3,1.9,Ivica Zubac,89
2018-19,LAC,26,20.1,1.2,1.6,1.3,7.3,7.2,3.8,6.3,20.9,0.9,0.9,2.5,1.8,Ivica Zubac,89
2018-19,LAL,33,15.6,1.2,1.8,0.5,6.8,6.2,4.5,5.4,16.8,0.8,0.7,2.2,1.9,Ivica Zubac,89
2017-18,LAL,43,9.5,0.3,1.3,0.4,2.7,3.3,2,2.2,8.5,0.3,0.3,1.1,1.1,Ivica Zubac,89
2016-17,LAL,38,16.0,0.7,1.0,0.5,5.5,5,4.9,5.4,17.8,0.9,0.6,1.7,1.3,Ivica Zubac,89
