By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,TOR,31,31.9,1.4,4.0,0.8,12.3,13.8,8.9,10.6,33.7,1.3,0.8,3.5,2.9,Jakob Poeltl,87
2023-24,TOR,50,26.4,1.3,2.3,0.8,9.6,8.5,7.2,7.4,27.8,1.5,0.7,3.0,2.0,Jakob Poeltl,87
2022-23,TOT,72,26.5,2.1,3.1,0.6,10.5,9.8,6.6,8.2,30.2,1.2,0.5,2.7,2.7,Jakob Poeltl,87
2022-23,TOR,26,27.2,2.5,2.9,0.7,10.9,8.3,5.1,7.5,27.8,1.3,0.5,3.0,2.4,Jakob Poeltl,87
2022-23,SAS,46,26.1,1.8,3.2,0.6,10.3,10.7,7.5,8.6,31.5,1.1,0.5,2.6,2.8,Jakob Poeltl,87
2021-22,SAS,68,29.0,1.8,3.1,0.2,11.8,8,8.7,6.6,30.4,1.7,0.6,3.1,2.8,Jakob Poeltl,87
2020-21,SAS,69,26.7,1.1,2.4,0.3,7.4,7.7,7.2,6.1,25.7,1.8,0.4,2.5,1.7,Jakob Poeltl,87
2019-20,SAS,66,17.7,0.7,1.3,0.6,4.9,4.8,5,4.2,16.9,1.4,0.4,1.9,1.5,Jakob Poeltl,87
2018-19,SAS,77,16.5,0.7,1.5,0.2,4.6,5.1,4,4.6,16.1,0.9,0.2,1.6,1.2,Jakob Poeltl,87
2017-18,TOR,82,18.6,1.1,2.0,0.5,6.0,5.7,5,4,17.2,1.2,0.4,2.6,1.4,Jakob Poeltl,87
2016-17,TOR,54,11.6,0.4,1.1,0.1,2.4,3.5,2.5,3.2,9.3,0.4,0.2,2.1,0.9,Jakob Poeltl,87
