By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,LAC,34,33.9,3.7,1.5,2.1,5.7,13.7,8.5,11.1,32.3,0.6,0.9,2.1,4.5,James Harden,34
2023-24,LAC,72,34.3,1.8,0.9,1.8,3.9,10.5,9.4,9.8,34.8,0.8,0.6,1.8,3.3,James Harden,34
2022-23,PHI,58,36.8,3.1,1.9,2.1,6.0,11.7,9.5,12.8,34.8,0.5,0.9,1.9,4.6,James Harden,34
2021-22,TOT,65,37.2,3.0,1.8,2.2,7.3,13.1,9.7,11.8,37.3,0.6,1.4,2.4,5.8,James Harden,34
2021-22,PHI,21,37.7,2.9,1.1,1.9,6.2,11.9,8.8,13,38.4,0.2,1.3,2.3,5.7,James Harden,34
2021-22,BKN,44,37.0,3.1,2.1,2.3,7.9,13.7,10.2,11.3,36.8,0.7,1.5,2.4,5.8,James Harden,34
2020-21,TOT,44,36.6,3.1,1.9,2.4,9.6,12.8,10.8,10.6,36.9,0.8,1.1,2.3,5.1,James Harden,34
2020-21,BKN,36,36.6,3.0,1.9,2.4,9.8,12.3,10.8,10,36.8,0.8,1.0,2.4,5.2,James Harden,34
2020-21,HOU,8,36.3,3.9,1.6,2.5,8.8,14.9,10.8,13.3,37,0.8,1.4,1.8,4.8,James Harden,34
2019-20,HOU,68,36.5,5.4,2.7,3.5,10.7,13.1,10.9,12,37.7,0.9,1.4,3.3,7.7,James Harden,34
2018-19,HOU,78,36.8,5.4,2.8,3.1,11.1,12.8,10.4,11.2,39.2,0.7,1.4,3.1,7.2,James Harden,34
2017-18,HOU,72,35.4,4.7,2.0,2.0,9.3,11.9,8.8,9.2,35.7,0.7,1.4,2.3,7.0,James Harden,34
2016-17,HOU,81,36.4,4.4,2.2,4.0,8.6,13.3,10.1,11.1,37.6,0.5,1.1,2.7,6.2,James Harden,34
2015-16,HOU,82,38.1,4.8,2.1,5.6,8.4,15.3,11.3,11.7,34.7,0.6,1.2,2.8,6.8,James Harden,34
2014-15,HOU,81,36.8,5.0,2.7,5.7,8.3,13.9,10.7,11.6,33.3,0.7,1.3,2.6,6.7,James Harden,34
2013-14,HOU,73,38.0,4.3,2.2,6.9,7.7,14.1,11.7,10.8,34.2,0.4,0.8,2.4,5.8,James Harden,34
2012-13,HOU,78,38.3,4.8,1.8,6.3,8.6,14.4,9.8,11.7,33.7,0.5,1.4,2.3,6.8,James Harden,34
2011-12,OKC,62,31.4,3.2,1.4,3.3,5.5,10.4,10.2,7.5,27.4,0.2,0.8,2.4,4.2,James Harden,34
2010-11,OKC,82,26.7,2.1,0.7,2.3,3.6,8.5,8.4,5.9,23.6,0.3,0.6,2.5,3.1,James Harden,34
2009-10,OKC,76,22.9,2.2,0.9,2.0,2.5,8.1,6.7,5.2,18.6,0.3,0.6,2.6,2.5,James Harden,34
