By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,POR,29,32.7,1.9,1.1,2.0,3.9,13.8,10.1,13.2,32.1,1.0,0.9,2.3,2.6,Jerami Grant,91
2023-24,POR,54,33.9,3.4,2.4,2.2,7.6,12.4,10.1,11.5,39.5,0.6,1.2,2.2,3.9,Jerami Grant,91
2022-23,POR,63,35.6,3.1,1.9,3.1,7.3,12.4,10.3,10.4,39.6,0.8,0.9,2.4,4.4,Jerami Grant,91
2021-22,DET,47,31.9,2.7,1.4,1.6,6.0,11.2,8.1,6.8,32.2,1.0,0.6,2.3,3.9,Jerami Grant,91
2020-21,DET,54,33.9,3.1,2.0,1.6,7.8,11.2,9.2,7.6,35.1,1.1,1.1,2.3,4.7,Jerami Grant,91
2019-20,DEN,71,26.6,1.6,1.4,1.0,5.0,9.2,7,6.8,27.5,0.8,0.5,2.2,2.6,Jerami Grant,91
2018-19,OKC,80,32.7,2.4,1.8,1.7,6.9,10.7,8,8.3,32.5,1.3,0.8,2.7,2.7,Jerami Grant,91
2017-18,OKC,81,20.3,1.9,1.0,0.9,5.0,6.1,6.2,4.3,17.9,1.0,0.6,1.9,2.7,Jerami Grant,91
2016-17,TOT,80,19.1,0.9,0.5,0.8,2.4,6.6,5,5.1,19.7,1.0,0.3,1.9,1.3,Jerami Grant,91
2016-17,OKC,78,19.1,0.9,0.5,0.8,2.4,6.6,5,4.9,19.6,1.0,0.3,1.8,1.3,Jerami Grant,91
2016-17,PHI,2,20.6,1.0,0.0,0.5,4.0,7.5,6,13,21,2.0,1.0,2.5,2.0,Jerami Grant,91
2015-16,PHI,77,26.8,1.8,1.0,1.6,5.4,11.4,8.2,9,25.2,1.6,1.0,2.8,3.7,Jerami Grant,91
2014-15,PHI,65,21.2,1.3,0.7,1.0,2.1,9.2,6,6.3,17.2,1.0,0.5,2.2,2.1,Jerami Grant,91
