By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,MIA,22,30.8,3.0,1.8,3.0,9.5,9.4,8.7,10.6,32.5,0.4,0.9,1.0,4.9,Jimmy Butler,69
2023-24,MIA,60,34.0,3.3,2.2,2.6,9.5,11.1,9.5,9.5,32.8,0.3,1.1,1.1,5.2,Jimmy Butler,69
2022-23,MIA,64,33.4,4.0,3.0,2.9,11.5,11.1,8.4,9,33.2,0.3,0.8,1.3,5.7,Jimmy Butler,69
2021-22,MIA,57,33.9,3.4,2.4,2.6,10.4,11.3,8.5,8.1,29.5,0.5,0.6,1.5,5.7,Jimmy Butler,69
2020-21,MIA,52,33.6,3.8,1.7,3.1,10.7,10.1,7.7,7.1,28.3,0.3,0.8,1.4,6.0,Jimmy Butler,69
2019-20,MIA,58,33.8,3.3,1.6,2.4,9.1,10.9,8.3,7.7,30.7,0.6,0.8,1.4,6.7,Jimmy Butler,69
2018-19,TOT,65,33.6,2.6,2.0,2.6,8.2,11.5,9,10.8,35.8,0.6,0.7,1.7,4.2,Jimmy Butler,69
2018-19,PHI,55,33.2,2.5,1.9,2.5,8.0,11.1,8.4,10,35.1,0.5,0.7,1.7,4.0,Jimmy Butler,69
2018-19,MIN,10,36.1,2.9,2.5,3.4,9.6,13.7,12.2,14.9,39.4,1.0,0.7,1.8,5.4,Jimmy Butler,69
2017-18,MIN,59,36.7,4.0,2.0,2.6,8.6,11.4,9.6,9.2,33.5,0.4,0.7,1.3,5.2,Jimmy Butler,69
2016-17,CHI,76,37.0,4.0,2.6,4.0,7.8,11.2,9.2,10.6,34.2,0.4,0.8,1.5,6.5,Jimmy Butler,69
2015-16,CHI,67,36.9,3.3,2.4,2.6,8.0,11.6,11.3,10.2,33.5,0.6,0.8,1.9,5.5,Jimmy Butler,69
2014-15,CHI,65,38.7,3.8,2.2,3.4,7.2,11.8,10.7,10.1,32.5,0.6,0.9,1.7,5.2,Jimmy Butler,69
2013-14,CHI,67,38.7,2.8,1.4,2.4,4.2,11.6,9,9.5,29.7,0.5,0.7,1.6,4.1,Jimmy Butler,69
2012-13,CHI,82,26.0,1.8,1.7,1.3,3.6,8.3,6.9,6.9,21.2,0.4,0.7,1.2,2.2,Jimmy Butler,69
2011-12,CHI,42,8.5,0.5,0.4,0.6,1.0,2.5,2.4,1.6,6.6,0.1,0.3,0.5,0.8,Jimmy Butler,69
