By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,UTA,22,25.6,1.9,1.7,1.5,6.1,13.5,10,10.2,27.8,0.3,1.0,1.5,3.0,Jordan Clarkson,82
2023-24,UTA,55,30.6,1.7,1.9,1.5,7.7,12.2,9.1,11.6,33,0.1,0.9,1.5,2.5,Jordan Clarkson,82
2022-23,UTA,61,32.6,2.6,2.3,2.4,8.9,12.5,10.7,12.1,37.6,0.2,0.9,2.0,3.1,Jordan Clarkson,82
2021-22,UTA,79,27.1,2.0,1.4,1.5,6.3,9.1,6.9,6.7,25,0.2,0.5,1.9,2.1,Jordan Clarkson,82
2020-21,UTA,68,26.7,2.4,1.4,2.2,6.9,9.1,7.2,7,27.9,0.1,0.6,1.6,1.9,Jordan Clarkson,82
2019-20,TOT,71,24.0,2.1,1.4,1.5,6.3,8.1,6,6.4,24.2,0.2,0.7,1.5,1.8,Jordan Clarkson,82
2019-20,UTA,42,24.7,2.3,1.5,1.6,6.9,7.9,6,5.8,24.5,0.2,0.7,1.8,1.5,Jordan Clarkson,82
2019-20,CLE,29,23.0,1.9,1.2,1.3,5.4,8.5,6,7.2,23.7,0.3,0.8,1.1,2.3,Jordan Clarkson,82
2018-19,CLE,81,27.3,2.6,1.4,1.6,6.7,9.7,7,7.2,28.6,0.2,0.7,1.4,2.1,Jordan Clarkson,82
2017-18,TOT,81,23.3,2.1,1.5,1.8,5.5,8.6,6.8,5.4,22.7,0.1,0.6,1.3,1.9,Jordan Clarkson,82
2017-18,CLE,28,22.6,2.7,1.0,1.8,3.8,6.8,6.4,5.4,21.9,0.1,0.5,1.6,1.8,Jordan Clarkson,82
2017-18,LAL,53,23.7,1.8,1.7,1.8,6.4,9.6,7,5.4,23.1,0.1,0.7,1.2,2.0,Jordan Clarkson,82
2016-17,LAL,82,29.2,2.4,1.1,2.1,6.6,11.6,8.7,9.5,29.8,0.1,0.7,1.8,1.8,Jordan Clarkson,82
2015-16,LAL,79,32.3,2.1,1.5,2.1,6.6,10.9,9.9,11.5,33,0.1,1.1,2.1,2.3,Jordan Clarkson,82
2014-15,LAL,59,25.0,2.1,0.9,2.5,5.1,7.7,6.2,7.7,22.3,0.2,0.7,1.8,2.3,Jordan Clarkson,82
