By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,NYK,36,37.7,2.3,2.0,2.8,7.5,10.3,9.4,10.6,36.9,0.4,0.6,2.5,2.4,Josh Hart,96
2023-24,NYK,81,33.4,1.6,1.0,1.8,5.0,9.6,8.4,8.9,31.9,0.3,0.7,2.1,1.5,Josh Hart,96
2022-23,TOT,76,32.3,1.5,1.0,2.8,5.4,10.7,8.6,8.8,33.7,0.3,0.5,2.6,2.1,Josh Hart,96
2022-23,NYK,25,30.0,1.8,1.1,2.6,5.1,9.6,7.1,6.1,27.6,0.5,0.6,2.5,2.2,Josh Hart,96
2022-23,POR,51,33.4,1.3,1.0,2.8,5.6,11.3,9.3,10.1,36.7,0.2,0.5,2.6,2.1,Josh Hart,96
2021-22,TOT,54,33.2,2.1,1.3,3.9,7.2,12,7.9,8.8,31.1,0.2,0.7,2.8,3.2,Josh Hart,96
2021-22,POR,13,32.1,2.9,1.3,4.1,8.5,13.3,7.4,13.3,31.2,0.2,0.8,2.5,3.5,Josh Hart,96
2021-22,NOP,41,33.5,1.9,1.3,3.8,6.8,11.6,8.1,7.3,31,0.3,0.7,2.9,3.1,Josh Hart,96
2020-21,NOP,47,28.7,1.0,1.0,2.4,3.4,11.6,6.9,7.3,26.5,0.3,0.5,2.4,1.4,Josh Hart,96
2019-20,NOP,65,27.0,1.6,1.5,2.8,3.1,11.1,7.4,8,29.3,0.4,0.4,2.5,1.6,Josh Hart,96
2018-19,LAL,67,25.6,1.8,0.7,2.3,2.7,9.1,7,7.5,26.2,0.6,0.5,2.2,1.3,Josh Hart,96
2017-18,LAL,63,23.2,1.7,0.9,2.3,2.8,8.6,6.1,5.9,22.9,0.3,0.3,1.7,1.2,Josh Hart,96
