By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,MIN,36,33.0,2.6,2.9,2.2,8.9,13.4,9.5,10.8,33.1,0.2,1.0,2.5,3.9,Julius Randle,47
2023-24,NYK,46,35.4,3.0,4.0,3.0,12.2,11.7,8.8,11.7,35.7,0.3,1.4,2.7,4.8,Julius Randle,47
2022-23,NYK,77,35.5,3.1,3.7,1.8,9.3,10.8,10,9.9,34.1,0.3,0.7,3.0,4.9,Julius Randle,47
2021-22,NYK,72,35.3,3.0,3.1,1.3,8.1,11.8,9.1,10.1,33,0.5,0.9,2.8,4.6,Julius Randle,47
2020-21,NYK,71,37.6,3.4,2.5,1.2,7.6,12.2,9,8.4,34.4,0.3,1.0,3.2,5.0,Julius Randle,47
2019-20,NYK,64,32.5,2.8,3.5,1.1,10.8,11.7,8.1,9.4,29,0.3,1.0,2.8,4.3,Julius Randle,47
2018-19,NOP,73,30.6,3.1,3.2,2.3,13.2,11.7,8.6,9.7,32.3,0.6,1.2,3.4,5.0,Julius Randle,47
2017-18,LAL,82,26.7,2.4,2.8,2.7,11.5,10.5,7.1,7.4,27.2,0.5,1.3,3.3,4.1,Julius Randle,47
2016-17,LAL,74,28.8,2.2,2.2,2.4,8.7,11.2,7.8,10.7,29.1,0.5,1.0,3.4,2.6,Julius Randle,47
2015-16,LAL,81,28.2,2.1,2.4,1.8,7.6,10.1,8.5,11.5,29,0.4,1.0,3.0,2.6,Julius Randle,47
2014-15,LAL,1,13.6,0.0,0.0,0.0,0.0,5,6,6,12,0.0,0.0,1.0,1.0,Julius Randle,47
