By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,NYK,32,34.3,2.9,3.8,0.8,12.6,9.1,8.1,9.3,34.1,0.9,1.1,3.6,5.0,Karl-Anthony Towns,15
2023-24,MIN,62,32.7,3.1,2.5,1.1,9.9,11.1,8.5,8.8,32.1,0.7,1.1,3.3,4.2,Karl-Anthony Towns,15
2022-23,MIN,29,33.0,2.9,2.3,1.9,8.8,12.9,9.4,10.1,32.5,0.6,0.7,3.8,4.6,Karl-Anthony Towns,15
2021-22,MIN,74,33.5,3.4,3.6,1.3,12.1,11,9.5,10.5,33.2,1.1,1.2,3.6,5.8,Karl-Anthony Towns,15
2020-21,MIN,50,33.8,3.4,3.7,1.2,10.8,11.9,10.3,10.3,34.8,1.1,1.0,3.7,5.6,Karl-Anthony Towns,15
2019-20,MIN,35,33.9,3.3,4.9,1.0,10.8,11.8,8.9,8.6,35,1.2,1.0,3.3,5.5,Karl-Anthony Towns,15
2018-19,MIN,77,33.0,3.7,4.5,0.7,12.1,10.8,10.4,9.2,33.7,1.6,1.0,3.8,5.8,Karl-Anthony Towns,15
2017-18,MIN,82,35.6,3.1,3.9,0.7,10.5,10.9,9.3,9.4,33.2,1.4,0.8,3.5,4.6,Karl-Anthony Towns,15
2016-17,MIN,82,37.0,3.4,4.7,1.5,14.1,13.1,10.3,11,35.7,1.3,1.1,2.9,4.7,Karl-Anthony Towns,15
2015-16,MIN,82,32.0,2.8,3.5,1.1,9.8,11.3,9,9.1,30.5,1.7,0.8,3.0,3.0,Karl-Anthony Towns,15
