By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,PHX,22,36.0,4.2,1.8,4.1,9.8,12.6,10.2,11,35.2,1.3,0.7,1.8,5.8,Kevin Durant,8
2023-24,PHX,75,37.2,3.7,2.2,3.5,8.9,14.2,11,11.3,39.9,1.2,0.7,1.8,4.8,Kevin Durant,8
2022-23,TOT,47,35.6,3.5,2.0,2.9,8.8,12.9,10.8,10.9,35.2,1.4,0.5,2.1,5.8,Kevin Durant,8
2022-23,PHX,8,33.7,1.3,2.0,1.5,6.0,11.4,10.5,9.1,33.5,1.3,0.5,0.9,4.6,Kevin Durant,8
2022-23,BKN,39,36.0,4.0,1.9,3.1,9.4,13.3,10.9,11.2,35.6,1.5,0.5,2.4,6.0,Kevin Durant,8
2021-22,BKN,55,37.2,3.6,2.1,3.5,8.6,14,10.7,11.1,35.1,0.9,0.7,2.1,5.9,Kevin Durant,8
2020-21,BKN,35,33.1,3.2,1.7,2.9,8.5,10.3,11,6.8,32.9,1.3,0.7,2.0,5.3,Kevin Durant,8
2018-19,GSW,78,34.6,3.6,1.9,4.6,8.5,12.2,10.1,10.8,33.2,1.1,0.5,2.0,4.9,Kevin Durant,8
2017-18,GSW,68,34.2,3.7,1.9,4.3,7.7,13.6,10.1,10.8,34.5,1.8,0.6,2.0,4.8,Kevin Durant,8
2016-17,GSW,62,33.4,4.6,2.4,5.7,10.0,10.7,9.6,9.3,31.3,1.6,0.4,1.9,4.6,Kevin Durant,8
2015-16,OKC,72,35.8,3.0,2.2,4.6,8.8,12.9,10.8,10,33.5,1.2,0.5,1.9,4.5,Kevin Durant,8
2014-15,OKC,27,33.8,4.0,2.3,4.0,7.7,10.7,8.8,9.1,29.6,0.9,0.3,1.5,4.9,Kevin Durant,8
2013-14,OKC,81,38.5,5.1,2.5,5.5,10.6,14.4,9.9,10.6,32.3,0.7,0.5,2.1,6.4,Kevin Durant,8
2012-13,OKC,81,38.5,4.8,2.5,4.2,9.4,13.2,10.9,9.4,32.8,1.3,0.5,1.8,6.5,Kevin Durant,8
2011-12,OKC,66,38.6,4.0,2.2,4.4,9.3,13.4,12,9.8,34.5,1.2,0.6,2.0,4.9,Kevin Durant,8
2010-11,OKC,78,38.9,4.2,1.8,4.2,7.4,12.2,12.1,10.1,36.9,1.0,0.6,2.0,5.3,Kevin Durant,8
2009-10,OKC,82,39.5,5.8,2.9,5.4,9.7,12.9,12.2,10.1,37.1,1.0,0.8,2.1,6.6,Kevin Durant,8
2008-09,OKC,74,39.0,4.1,2.6,4.6,8.3,16,10.3,11.2,36.6,0.7,1.0,1.8,4.7,Kevin Durant,8
2007-08,SEA,80,34.6,3.9,1.9,4.5,7.1,13.3,10.6,10.7,32.7,0.9,1.1,1.5,3.9,Kevin Durant,8
