By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,DAL,32,27.8,1.8,1.8,1.7,1.9,9.4,8.3,8.4,28.3,0.4,0.3,1.3,0.8,Klay Thompson,97
2023-24,GSW,77,29.7,2.4,2.1,2.2,3.1,10.5,8.3,9.1,32.1,0.5,0.4,1.6,1.2,Klay Thompson,97
2022-23,GSW,69,33.0,3.3,2.2,3.5,4.1,12.5,9.1,10.6,34.1,0.4,0.5,1.9,1.3,Klay Thompson,97
2021-22,GSW,32,29.4,3.1,2.4,3.0,4.4,10.3,7.9,8.6,28.4,0.5,0.4,1.7,1.3,Klay Thompson,97
2018-19,GSW,78,34.0,2.8,1.4,3.5,5.4,12.5,9.8,10.7,33.7,0.6,0.5,2.0,2.2,Klay Thompson,97
2017-18,GSW,73,34.3,2.4,1.3,3.8,4.1,13,9.9,10.4,33.1,0.5,0.4,1.6,1.7,Klay Thompson,97
2016-17,GSW,78,34.0,4.0,2.3,4.2,5.4,10.6,10.1,10,32.1,0.5,0.6,1.8,2.0,Klay Thompson,97
2015-16,GSW,80,33.3,3.1,2.0,4.1,6.2,11.7,9.4,9.7,31.3,0.6,0.5,1.9,2.1,Klay Thompson,97
2014-15,GSW,77,31.9,3.2,1.4,4.1,5.9,10,9.1,8.9,27,0.8,0.7,1.6,2.5,Klay Thompson,97
2013-14,GSW,81,35.4,2.9,2.0,2.8,4.3,12.3,9.7,9.5,29.7,0.5,0.6,2.9,2.1,Klay Thompson,97
2012-13,GSW,82,35.8,2.8,1.4,3.2,3.2,12.7,10.5,10.1,31.1,0.5,0.4,2.9,1.8,Klay Thompson,97
2011-12,GSW,66,24.4,2.4,1.3,1.5,2.8,7.7,7.6,7,22.1,0.3,0.5,2.3,1.2,Klay Thompson,97
