By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,BOS,14,27.9,1.4,1.9,1.4,7.0,8.9,6.1,8,25,1.4,0.8,2.4,5.0,Kristaps Porzingis,65
2023-24,BOS,57,29.6,1.8,2.4,1.2,8.6,8.2,8.8,9,28.5,1.9,0.3,2.7,4.9,Kristaps Porzingis,65
2022-23,WAS,65,32.6,2.6,2.8,0.7,8.7,11.1,9.4,10.4,34,1.5,0.9,3.0,6.1,Kristaps Porzingis,65
2021-22,TOT,51,29.0,2.3,2.6,1.5,8.2,8.4,6.4,7.2,26.8,1.6,0.6,2.7,4.6,Kristaps Porzingis,65
2021-22,WAS,17,28.2,2.4,2.4,0.7,7.9,8.6,6.2,5.8,28.2,1.5,0.6,2.9,5.6,Kristaps Porzingis,65
2021-22,DAL,34,29.5,2.2,2.7,1.9,8.3,8.3,6.5,7.9,26.1,1.7,0.5,2.6,4.1,Kristaps Porzingis,65
2020-21,DAL,43,30.9,1.8,2.7,1.2,8.1,9.1,8.5,9.1,29.3,1.3,0.7,2.7,3.5,Kristaps Porzingis,65
2019-20,DAL,57,31.8,2.5,2.9,1.1,6.4,9.1,8.3,10.8,29,2.0,0.6,3.2,3.9,Kristaps Porzingis,65
2017-18,NYK,48,32.4,2.9,1.7,1.2,7.0,10.6,9.2,7.1,27.5,2.4,0.9,2.9,5.9,Kristaps Porzingis,65
2016-17,NYK,66,32.8,2.2,2.1,1.4,6.5,10.7,9.8,10.1,30.1,2.0,0.5,3.7,3.3,Kristaps Porzingis,65
2015-16,NYK,72,28.4,1.5,2.6,0.5,4.7,8.8,7.2,6.7,24.7,1.9,0.4,2.8,3.1,Kristaps Porzingis,65
