By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,DAL,30,35.6,2.7,2.5,2.9,8.9,13.2,11.5,9.6,37.3,0.4,0.9,2.2,3.0,Kryie Irving,21
2023-24,DAL,58,35.0,3.2,2.2,3.7,9.5,10.1,10.3,10.1,36,0.5,0.7,1.9,3.1,Kryie Irving,21
2022-23,TOT,60,37.3,3.5,1.3,3.9,10.0,12.1,11.2,10.3,38.6,0.8,0.9,2.8,3.6,Kryie Irving,21
2022-23,DAL,20,38.1,3.6,1.4,3.7,11.1,11.1,11.7,10.5,42,0.6,1.0,2.8,3.7,Kryie Irving,21
2022-23,BKN,40,36.9,3.5,1.3,4.1,9.5,12.6,11,10.2,36.9,0.8,0.9,2.7,3.6,Kryie Irving,21
2021-22,BKN,29,37.6,3.1,2.1,3.5,8.8,12,11,9.6,35.7,0.6,0.9,2.8,3.8,Kryie Irving,21
2020-21,BKN,54,34.9,2.7,1.8,2.9,10.6,10.8,11.5,7.8,35,0.7,1.0,2.6,3.4,Kryie Irving,21
2019-20,BKN,20,32.9,3.6,2.0,3.1,10.5,11.9,7.6,8.3,37.7,0.5,0.8,2.7,4.8,Kryie Irving,21
2018-19,BOS,67,33.0,3.4,1.8,3.6,8.7,9.9,9.2,9.5,31.7,0.5,0.7,2.5,3.6,Kryie Irving,21
2017-18,BOS,60,32.2,2.4,1.9,2.1,8.5,10.4,7.6,7.2,29.5,0.3,0.8,2.0,3.4,Kryie Irving,21
2016-17,CLE,72,35.1,2.7,1.8,2.5,8.3,11.1,10.1,10.4,33.6,0.3,1.0,2.2,3.4,Kryie Irving,21
2015-16,CLE,53,31.5,2.8,1.7,2.3,7.0,9.4,7.2,8.3,29.4,0.3,1.0,2.0,2.9,Kryie Irving,21
2014-15,CLE,75,36.4,2.9,1.8,2.4,7.4,11.5,9.1,9.5,33.2,0.3,0.8,1.9,3.8,Kryie Irving,21
2013-14,CLE,71,35.2,2.8,1.4,3.0,6.6,11.1,9.5,9.4,29.4,0.3,0.8,2.3,3.7,Kryie Irving,21
2012-13,CLE,59,34.7,3.2,2.3,2.5,7.3,11.9,9.9,9.9,32.1,0.4,1.1,2.5,4.2,Kryie Irving,21
2011-12,CLE,51,30.5,3.0,1.1,3.0,8.1,10.3,9,7.5,29.1,0.4,1.0,2.2,2.9,Kryie Irving,21
