By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,LAL,33,34.9,3.6,2.0,4.5,11.2,12.6,11.2,12.2,37.9,0.5,0.8,1.4,3.8,LeBron James,27
2023-24,LAL,71,35.3,3.7,1.5,5.1,13.6,12.5,10.8,11.5,37,0.5,0.8,1.1,4.3,LeBron James,27
2022-23,LAL,55,35.5,3.5,2.7,6.2,15.1,11.3,9.3,10.7,37.5,0.6,0.9,1.6,5.0,LeBron James,27
2021-22,LAL,56,37.2,4.3,2.9,4.8,14.3,13.1,10.2,11.9,38.6,1.1,0.8,2.2,5.5,LeBron James,27
2020-21,LAL,45,33.4,4.0,2.0,4.5,11.7,10.8,8,8.8,32.2,0.6,0.6,1.6,4.6,LeBron James,27
2019-20,LAL,67,34.6,4.6,2.3,4.8,12.7,12.2,8.1,11.6,32.1,0.5,0.9,1.8,5.1,LeBron James,27
2018-19,LAL,55,35.2,4.2,2.7,5.3,13.5,13,9.3,11.2,37.2,0.6,0.9,1.7,5.8,LeBron James,27
2017-18,CLE,82,36.9,4.1,2.2,4.2,14.4,12.6,9.7,9.1,36.2,0.9,0.8,1.7,5.4,LeBron James,27
2016-17,CLE,74,37.8,4.1,2.5,5.5,13.9,12.4,10.1,10,35.2,0.6,0.8,1.8,5.9,LeBron James,27
2015-16,CLE,76,35.6,5.4,2.4,5.4,14.0,11.3,8.3,8.4,29.9,0.6,0.9,1.9,5.4,LeBron James,27
2014-15,CLE,69,36.1,4.9,2.4,4.9,10.9,11.7,8.8,8.7,32.2,0.7,0.7,2.0,6.0,LeBron James,27
2013-14,MIA,77,37.7,6.1,2.0,6.1,13.6,13.6,10.3,9.2,32.6,0.3,0.5,1.6,6.0,LeBron James,27
2012-13,MIA,76,37.9,6.1,2.9,5.4,12.8,11.4,11.2,9.2,31.4,0.9,0.5,1.4,5.8,LeBron James,27
2011-12,MIA,62,37.5,6.0,2.8,5.9,12.2,11.8,10.2,8.6,28.7,0.8,0.5,1.5,6.1,LeBron James,27
2010-11,MIA,79,38.8,5.0,2.3,5.8,11.4,12.4,9.9,10.2,31,0.6,0.5,2.1,5.9,LeBron James,27
2009-10,CLE,76,39.0,5.5,2.7,6.1,11.9,12.4,9.4,10.2,29.6,1.0,0.6,1.6,7.0,LeBron James,27
2008-09,CLE,81,37.7,5.8,3.0,5.2,11.5,10.4,9.2,9.3,29,1.1,0.7,1.7,7.2,LeBron James,27
2007-08,CLE,75,40.4,4.9,3.9,5.2,13.2,13.3,9.5,10.6,31.8,1.1,0.8,2.2,7.9,LeBron James,27
2006-07,CLE,78,40.9,4.6,3.0,4.8,12.1,11.8,9.9,8.7,32,0.7,0.6,2.2,6.6,LeBron James,27
2005-06,CLE,79,42.5,5.2,2.4,6.2,12.8,12.8,10.3,9.1,32.8,0.8,0.8,2.3,7.5,LeBron James,27
2004-05,CLE,80,42.3,5.9,2.9,5.5,11.7,13.2,11.5,11.2,34,0.7,0.9,1.8,0.0,LeBron James,27
2003-04,CLE,79,39.6,4.3,2.3,5.1,9.5,13.1,11.3,11.2,31.9,0.7,1.0,1.9,0.0,LeBron James,27
