By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,DET,36,28.2,2.3,1.9,2.6,2.6,12.1,8,9.2,27.3,0.1,0.3,1.3,1.3,Malik Beasley,83
2023-24,MIL,79,29.6,1.8,1.5,1.5,1.9,9,8.1,9,32.1,0.1,0.3,2.0,0.5,Malik Beasley,83
2022-23,TOT,81,25.8,1.8,0.9,1.9,2.4,10,7.8,9.5,30.2,0.1,0.3,1.3,0.6,Malik Beasley,83
2022-23,LAL,26,23.9,1.8,0.8,2.3,2.7,9.1,5.3,9.2,27.8,0.0,0.2,1.2,0.5,Malik Beasley,83
2022-23,UTA,55,26.8,1.9,1.0,1.7,2.3,10.4,8.9,9.7,31.3,0.1,0.4,1.4,0.6,Malik Beasley,83
2021-22,MIN,79,25.0,2.2,1.6,2.0,1.7,8.4,7.2,7.4,23.7,0.2,0.4,1.1,0.5,Malik Beasley,83
2020-21,MIN,37,32.8,3.8,1.6,3.0,5.9,11.3,9.6,9.9,35.9,0.2,0.8,1.7,1.6,Malik Beasley,83
2019-20,TOT,55,22.0,2.2,0.9,2.0,3.3,7.2,5.7,6.6,24.7,0.1,0.5,1.4,1.0,Malik Beasley,83
2019-20,MIN,14,33.1,4.5,1.0,4.4,7.4,12.2,9.9,11.1,42.7,0.1,0.8,1.9,1.8,Malik Beasley,83
2019-20,DEN,41,18.2,1.4,0.9,1.2,1.9,5.5,4.3,5.1,18.6,0.1,0.4,1.2,0.8,Malik Beasley,83
2018-19,DEN,81,23.2,2.1,1.0,2.3,3.7,7.2,6.1,5.6,24,0.1,0.4,1.4,0.8,Malik Beasley,83
2017-18,DEN,62,9.4,0.8,0.5,0.5,1.2,3.9,2.3,2.1,8.8,0.1,0.2,0.6,0.5,Malik Beasley,83
2016-17,DEN,22,7.5,0.7,0.5,1.5,1.9,3,1.8,2,6.5,0.0,0.3,0.5,0.4,Malik Beasley,83
