By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,IND,35,31.3,1.7,1.7,0.4,5.9,11.1,8.9,7.9,31.7,2.1,0.4,2.8,2.7,Myles Turner,88
2023-24,IND,77,27.0,1.5,2.4,1.1,7.9,8.3,7.5,7,32.6,1.9,0.5,3.0,3.4,Myles Turner,88
2022-23,IND,62,29.4,1.9,2.4,1.3,9.2,9.8,9.7,8.4,31.5,2.3,0.5,3.5,4.1,Myles Turner,88
2021-22,IND,42,29.4,1.4,2.2,1.0,6.2,9,7.6,7,28.1,2.8,0.4,2.8,2.3,Myles Turner,88
2020-21,IND,47,31.0,1.9,1.5,0.9,5.6,10,8.8,7.4,31.4,3.4,0.4,3.5,2.4,Myles Turner,88
2019-20,IND,62,29.4,1.5,1.6,0.3,4.5,9,7.6,8.7,27.5,2.1,0.4,2.7,2.5,Myles Turner,88
2018-19,IND,74,28.6,2.2,1.5,0.8,5.5,9.2,8.5,7.7,26.2,2.7,0.4,2.6,2.8,Myles Turner,88
2017-18,IND,65,28.2,1.6,1.5,0.6,4.2,8.1,7.7,6.5,25.2,1.8,0.4,2.9,2.9,Myles Turner,88
2016-17,IND,81,31.4,2.0,2.0,0.8,6.4,11.1,8.7,6.4,26.2,2.1,0.6,3.2,3.2,Myles Turner,88
2015-16,IND,60,22.8,1.4,1.6,0.8,4.8,7.3,6.4,5.5,20.3,1.4,0.4,2.6,2.0,Myles Turner,88
