By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,DEN,29,36.9,3.0,4.1,2.3,16.9,12.5,10.1,12.7,39.5,0.6,1.1,2.0,5.8,Nikola Jokic,3
2023-24,DEN,79,34.6,2.7,3.9,1.0,16.8,10.6,8.4,10.2,36.5,0.9,0.9,2.5,5.4,Nikola Jokic,3
2022-23,DEN,69,33.7,3.0,3.7,1.4,15.8,11.9,8.8,9.7,36.7,0.7,0.7,2.5,5.7,Nikola Jokic,3
2021-22,DEN,74,33.5,3.0,3.8,1.7,16.2,12.2,7.9,8.4,35.2,0.9,0.9,2.6,6.5,Nikola Jokic,3
2020-21,DEN,72,34.6,3.4,4.2,0.8,14.4,10.8,7.7,9.6,32.1,0.7,0.9,2.7,5.8,Nikola Jokic,3
2019-20,DEN,73,32.0,2.1,3.3,0.5,10.4,10.2,7.8,8.2,31.2,0.6,0.4,3.0,5.0,Nikola Jokic,3
2018-19,DEN,80,31.3,2.0,3.8,0.6,11.8,10.4,7.1,8.4,31.5,0.7,0.8,2.9,5.2,Nikola Jokic,3
2017-18,DEN,75,32.6,2.0,3.1,0.8,8.1,12.4,6.9,8.4,30.7,0.8,0.6,2.8,5.1,Nikola Jokic,3
2016-17,DEN,73,27.9,1.3,3.4,1.0,10.0,9.8,6.5,8,26.9,0.8,0.7,2.9,3.2,Nikola Jokic,3
2015-16,DEN,80,21.7,1.3,2.1,0.5,6.2,7,4.5,5.4,17.5,0.6,0.7,2.6,2.5,Nikola Jokic,3
