By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,CHI,35,32.3,1.7,2.5,0.4,11.1,10.9,9.2,11.4,38.3,0.6,0.5,2.4,2.7,Nikola Vucevic,46
2023-24,CHI,76,34.3,2.0,2.6,0.3,10.3,11.1,9.7,9.5,32.6,0.8,0.6,2.5,1.9,Nikola Vucevic,46
2022-23,CHI,82,33.5,2.4,2.4,0.7,9.6,10.8,7.5,9.4,32.3,0.7,0.5,2.2,2.1,Nikola Vucevic,46
2021-22,CHI,73,33.1,2.1,2.3,0.7,9.5,10.4,8.3,8.2,33.5,1.0,0.6,2.5,1.8,Nikola Vucevic,46
2020-21,TOT,70,33.5,1.9,2.7,1.4,9.3,11.9,7.5,9.3,32.7,0.7,0.7,2.0,2.3,Nikola Vucevic,46
2020-21,CHI,26,32.6,1.8,2.8,1.7,9.2,11.7,7.6,9,32.7,0.8,1.0,2.2,2.3,Nikola Vucevic,46
2020-21,ORL,44,34.1,2.0,2.6,1.2,9.3,12,7.5,9.5,32.7,0.6,0.6,1.8,2.3,Nikola Vucevic,46
2019-20,ORL,62,32.2,2.1,2.3,0.7,10.4,8.7,6.8,7.1,31.4,0.8,0.8,2.2,2.5,Nikola Vucevic,46
2018-19,ORL,80,31.4,2.5,3.3,0.6,12.3,9.8,6.9,8.6,30.8,1.1,0.8,2.0,2.7,Nikola Vucevic,46
2017-18,ORL,57,29.5,2.3,2.2,1.3,8.6,10.2,7.2,8.2,30.3,1.1,0.5,2.5,1.8,Nikola Vucevic,46
2016-17,ORL,75,28.8,1.9,2.5,0.5,7.1,9.2,7.7,8.2,28.2,1.0,0.5,2.4,2.0,Nikola Vucevic,46
2015-16,ORL,65,31.3,2.2,2.7,0.6,9.4,10.2,6.9,8.7,27,1.1,0.9,2.7,2.4,Nikola Vucevic,46
2014-15,ORL,74,34.2,2.4,3.9,0.7,11.2,12.1,7.9,9.2,29.9,0.7,0.6,3.0,2.9,Nikola Vucevic,46
2013-14,ORL,57,31.8,1.9,3.5,0.3,8.4,10,8.3,8.5,26.2,0.8,0.6,3.0,2.4,Nikola Vucevic,46
2012-13,ORL,77,33.2,1.7,3.8,0.3,8.5,11.7,8.1,8.7,30.2,1.0,0.8,2.8,1.8,Nikola Vucevic,46
2011-12,PHI,51,15.9,0.6,1.8,0.3,3.5,4.2,3.9,3.5,12.5,0.7,0.2,2.2,0.5,Nikola Vucevic,46
