By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,LAC,26,33.3,4.7,2.3,4.8,8.5,13.3,9.2,11.1,31.8,0.2,0.8,2.0,3.5,Norman Powell,23
2023-24,LAC,76,26.2,2.1,1.4,1.8,4.5,8.7,7.8,8.1,27,0.3,0.5,1.8,2.0,Norman Powell,23
2022-23,LAC,60,26.1,1.9,1.1,2.4,6.5,10.6,7.9,8.5,27.9,0.3,0.7,2.1,3.7,Norman Powell,23
2021-22,TOT,45,32.4,3.5,1.5,3.1,6.0,11.8,8.4,9.3,34.4,0.5,0.7,2.4,4.1,Norman Powell,23
2021-22,LAC,5,25.1,2.6,0.6,3.2,6.8,11,7.6,7.6,31.6,0.8,0.6,2.8,5.0,Norman Powell,23
2021-22,POR,40,33.3,3.6,1.6,3.1,5.9,11.9,8.5,9.5,34.8,0.4,0.7,2.3,4.0,Norman Powell,23
2020-21,TOT,69,32.0,3.0,1.4,3.0,6.8,10.7,9.1,8.9,30.4,0.3,1.0,2.3,3.5,Norman Powell,23
2020-21,POR,27,34.4,2.7,1.8,3.1,6.7,9.9,9.3,10,33.7,0.4,0.9,2.3,3.6,Norman Powell,23
2020-21,TOR,42,30.4,3.2,1.2,3.0,7.0,11.2,9.1,8.2,28.3,0.2,1.1,2.3,3.5,Norman Powell,23
2019-20,TOR,52,28.4,3.1,0.9,3.7,6.5,9.7,8.9,7.9,25.8,0.4,0.7,2.1,2.2,Norman Powell,23
2018-19,TOR,60,18.8,1.4,0.6,1.4,3.9,6.7,5.3,5.9,19,0.2,0.4,1.6,1.2,Norman Powell,23
2017-18,TOR,70,15.2,1.2,0.5,1.0,2.5,5.4,4.5,3.1,14.4,0.2,0.3,1.6,0.7,Norman Powell,23
2016-17,TOR,76,18.0,1.6,0.6,1.8,3.9,5.6,4.9,4.2,15.7,0.2,0.5,1.7,1.5,Norman Powell,23
2015-16,TOR,49,14.8,1.1,0.2,1.3,1.7,4.3,3.4,3.9,12.5,0.2,0.5,1.2,0.9,Norman Powell,23
