By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,NYK,37,36.5,3.4,1.6,3.4,7.7,10.4,9,10.9,35.7,0.9,1.1,2.4,1.8,OG Anunoby,78
2023-24,TOT,50,34.0,2.7,1.4,3.3,6.3,10.6,9.3,9.6,35.3,0.7,0.8,2.4,1.5,OG Anunoby,78
2023-24,NYK,23,34.9,3.0,2.1,2.7,6.7,10,8.5,10.5,34.1,1.0,0.9,2.5,1.5,OG Anunoby,78
2023-24,TOR,27,33.3,2.4,0.9,3.8,6.0,11.1,10,8.8,36.4,0.5,0.7,2.3,1.6,OG Anunoby,78
2022-23,TOR,67,35.6,4.0,2.1,3.8,7.4,11.4,7.8,10.8,36.6,0.7,1.0,3.0,2.3,OG Anunoby,78
2021-22,TOR,48,36.0,3.7,2.2,2.7,6.8,10.4,9.5,8.8,34.4,0.5,1.0,2.7,2.3,OG Anunoby,78
2020-21,TOR,43,33.3,3.0,1.4,2.3,6.2,10.3,9.9,7.3,29.1,0.7,0.9,2.7,1.9,OG Anunoby,78
2019-20,TOR,69,29.9,2.7,1.3,2.0,5.6,10.1,8.4,7.9,26.5,0.7,0.9,2.4,1.3,OG Anunoby,78
2018-19,TOR,67,20.2,1.2,0.9,1.1,3.3,7.3,5.5,6.3,20.5,0.3,0.5,2.1,0.9,OG Anunoby,78
2017-18,TOR,74,20.0,1.1,0.7,0.9,2.4,6.5,5.2,5.6,20.3,0.2,0.3,1.8,0.7,OG Anunoby,78
