By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,IND,37,33.4,2.5,1.8,2.7,9.0,11.1,9.3,8.1,33.6,0.3,0.7,2.8,3.2,Pascal Siakam,49
2023-24,TOT,80,33.2,2.5,2.8,3.3,13.1,10.2,9.2,8.9,37.8,0.3,0.6,2.4,4.1,Pascal Siakam,49
2023-24,IND,41,31.8,2.8,3.0,3.0,13.4,9.3,9.2,8.1,37.6,0.4,0.6,2.6,3.6,Pascal Siakam,49
2023-24,TOR,39,34.7,2.1,2.6,3.6,12.8,11.1,9.3,9.7,37.9,0.3,0.5,2.2,4.5,Pascal Siakam,49
2022-23,TOR,71,37.4,4.0,2.8,3.7,12.1,10.7,8.5,12.1,38.5,0.5,0.5,3.2,5.6,Pascal Siakam,49
2021-22,TOR,68,37.9,4.3,2.5,3.4,13.1,10.5,9.7,9.3,35.7,0.6,0.9,3.3,5.0,Pascal Siakam,49
2020-21,TOR,56,35.8,3.0,2.4,2.3,11.3,11.2,10.8,8.4,32.1,0.7,1.1,3.1,4.5,Pascal Siakam,49
2019-20,TOR,60,35.2,4.0,1.6,4.1,10.7,11.1,9,8.5,30.5,0.9,1.0,2.8,3.9,Pascal Siakam,49
2018-19,TOR,80,31.8,3.1,1.5,3.8,10.5,9.6,8.1,8.6,30.3,0.7,0.5,3.0,3.0,Pascal Siakam,49
2017-18,TOR,81,20.7,1.6,0.9,1.7,5.4,6.3,5.3,4.2,18.8,0.5,0.4,2.0,1.0,Pascal Siakam,49
2016-17,TOR,55,15.6,1.0,0.8,0.8,3.0,5.5,3.8,4.6,13.8,0.8,0.3,2.0,0.5,Pascal Siakam,49
