By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,PHI,24,32.0,3.3,1.6,1.3,3.9,11.6,7.7,9.6,28.7,0.4,0.5,2.5,3.0,Paul George,80
2023-24,LAC,74,33.8,3.1,1.6,2.4,5.6,10.1,9.2,9.3,33,0.5,0.7,2.7,3.2,Paul George,80
2022-23,LAC,56,34.6,4.1,1.7,2.5,7.1,12.7,8.9,9.1,35.1,0.4,0.7,2.8,4.1,Paul George,80
2021-22,LAC,31,34.8,3.4,1.5,2.1,6.6,11.6,10.2,8.8,33.8,0.4,0.9,2.4,5.1,Paul George,80
2020-21,LAC,54,33.7,4.1,2.1,2.1,6.9,10.4,7.5,7.3,30.3,0.4,0.8,2.4,4.2,Paul George,80
2019-20,LAC,48,29.6,3.8,1.8,2.8,5.2,9.8,7.1,8.7,26.2,0.4,0.8,2.4,3.8,Paul George,80
2018-19,OKC,77,36.9,4.9,2.9,4.5,7.4,11.7,8.9,8.6,35.9,0.4,1.0,2.8,5.5,Paul George,80
2017-18,OKC,79,36.6,3.4,1.8,2.6,5.8,11.1,9.7,8.8,33.4,0.5,0.8,2.9,4.1,Paul George,80
2016-17,IND,75,35.9,4.2,1.7,2.6,5.1,12.2,9.5,7.1,29.4,0.4,0.7,2.7,4.2,Paul George,80
2015-16,IND,81,34.8,4.7,2.2,3.2,5.4,11.8,9.3,8.7,29.7,0.4,1.0,2.8,5.4,Paul George,80
2014-15,IND,6,15.2,1.8,1.2,0.3,1.3,6.3,5.3,2.2,12,0.2,0.0,1.8,1.3,Paul George,80
2013-14,IND,80,36.2,4.1,1.8,2.8,5.7,11.3,8.4,8.2,26.3,0.3,0.8,2.5,4.8,Paul George,80
2012-13,IND,79,37.6,3.4,1.6,3.4,5.5,12.4,10.1,7.2,27.5,0.6,1.0,2.9,3.2,Paul George,80
2011-12,IND,66,29.7,2.8,1.6,2.7,4.4,8.7,7.8,7.2,22.5,0.6,0.8,2.9,2.5,Paul George,80
2010-11,IND,61,20.7,1.8,0.8,2.0,3.1,7.4,5.5,5.7,18,0.4,0.5,2.1,1.2,Paul George,80
