By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,GSW,28,31.1,3.1,1.8,1.9,4.6,11.4,8,10.5,29.1,0.5,0.5,1.2,2.9,Stephen Curry,33
2023-24,GSW,74,32.7,3.5,2.6,2.3,5.9,12.2,8.8,11,34.2,0.4,0.7,1.6,3.6,Stephen Curry,33
2022-23,GSW,56,34.7,4.5,2.4,3.1,7.9,13.5,9.9,11.5,36.3,0.4,0.7,2.1,3.9,Stephen Curry,33
2021-22,GSW,64,34.5,4.1,2.2,3.2,6.0,12.4,9.2,9.1,32.3,0.4,0.6,2.0,3.5,Stephen Curry,33
2020-21,GSW,63,34.2,4.6,1.4,3.6,8.1,13,10.2,10.1,32.5,0.1,0.9,1.9,4.6,Stephen Curry,33
2019-20,GSW,5,27.9,1.8,2.6,3.4,6.0,12,6.2,12.4,31.6,0.4,0.8,2.2,3.8,Stephen Curry,33
2018-19,GSW,69,33.8,3.8,2.5,4.6,5.6,12,9.4,10.6,32.5,0.4,0.5,2.4,3.6,Stephen Curry,33
2017-18,GSW,51,32.0,4.3,1.6,4.4,5.4,12.4,9,9.9,32.5,0.2,0.4,2.2,4.1,Stephen Curry,33
2016-17,GSW,79,33.4,4.4,2.2,6.0,6.4,11.4,9.5,10.1,31.1,0.2,0.7,2.3,3.5,Stephen Curry,33
2015-16,GSW,79,34.2,4.8,2.4,6.4,8.1,11.6,9.3,10.2,31.1,0.2,0.7,2.0,4.5,Stephen Curry,33
2014-15,GSW,80,32.7,4.4,1.7,6.1,6.3,10.3,9.4,9,28.1,0.2,0.5,2.0,3.7,Stephen Curry,33
2013-14,GSW,78,36.5,3.9,1.4,4.9,4.9,12.9,9.9,9.7,30.5,0.2,0.4,2.5,4.0,Stephen Curry,33
2012-13,GSW,78,38.2,3.3,1.6,4.7,3.9,13.6,11.1,11.1,32.8,0.2,0.6,2.5,3.4,Stephen Curry,33
2011-12,GSW,26,28.1,2.8,1.1,2.1,2.1,9.1,9.8,8.1,24.1,0.3,0.3,2.4,1.6,Stephen Curry,33
2010-11,GSW,74,33.6,3.7,1.8,4.0,4.6,12.1,10,14.1,32.7,0.3,0.5,3.1,2.6,Stephen Curry,33
2009-10,GSW,80,36.2,3.5,1.5,4.1,4.3,14.1,12.5,14,36.6,0.2,0.6,3.2,2.6,Stephen Curry,33
