By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,CHI,31,33.6,3.6,1.9,4.9,7.5,10.7,10,12.1,39.2,0.3,0.6,1.6,3.0,Zach LaVine,29
2023-24,CHI,25,34.9,3.1,1.5,3.4,6.5,9.8,11.2,9.8,30.7,0.3,0.8,2.3,2.8,Zach LaVine,29
2022-23,CHI,77,35.9,4.2,1.4,3.9,9.2,11.5,8.5,9.7,35.2,0.2,1.0,2.1,3.8,Zach LaVine,29
2021-22,CHI,67,34.7,4.2,1.4,3.0,8.3,11.2,9.4,8.6,34.7,0.3,0.9,1.8,4.0,Zach LaVine,29
2020-21,CHI,58,35.1,3.8,2.3,3.4,10.1,13.4,9,8.6,36.9,0.5,1.2,2.4,4.0,Zach LaVine,29
2019-20,CHI,60,34.8,4.5,2.2,3.5,10.1,13.6,9.9,9.2,37.2,0.5,1.4,2.2,4.1,Zach LaVine,29
2018-19,CHI,63,34.5,3.8,2.2,3.3,10.7,12.3,9.4,9,34.3,0.4,1.6,2.2,4.1,Zach LaVine,29
2017-18,CHI,24,27.3,2.5,1.5,2.5,6.3,9.4,5.5,6.5,27.5,0.2,1.3,2.3,2.8,Zach LaVine,29
2016-17,MIN,47,37.2,4.1,2.0,3.9,6.0,13.5,10.3,10,35.7,0.2,0.8,2.2,2.3,Zach LaVine,29
2015-16,MIN,82,28.0,2.6,1.1,3.3,5.2,11.6,7.4,8,27.6,0.2,0.7,2.4,1.9,Zach LaVine,29
2014-15,MIN,77,24.7,2.0,0.5,2.9,3.8,9.8,8.2,8.2,25.4,0.1,0.5,2.1,1.8,Zach LaVine,29
