By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,GSW,32,29.0,58.7,41.3,45.6,5.3,38.2,13.3,16.2,15.4,40.3,59.2,40.8,88.1,11.9,69.5,30.5,Andrew Wiggins,76
2023-24,GSW,71,27.0,67.4,32.6,55.8,9.6,29.1,10.9,15.1,10.5,46.2,59.2,40.8,90.1,9.9,67.1,32.9,Andrew Wiggins,76
2022-23,GSW,37,32.2,57.5,42.5,50.9,11.4,42.2,11.5,6.9,18,39.5,62.1,37.9,95.5,4.5,74,26,Andrew Wiggins,76
2021-22,GSW,73,31.9,60.8,39.2,50.6,10.7,37.5,10.7,11.9,13.8,40,49.7,50.3,89.8,10.2,62.9,37.1,Andrew Wiggins,76
2020-21,GSW,71,33.3,65.2,34.8,55.3,11.5,31.8,12.3,12.9,15.8,43.8,47.9,52.1,82.9,17.1,57.6,42.4,Andrew Wiggins,76
2019-20,TOT,54,34.4,65.8,34.2,55.5,7.8,28.3,7.5,16.2,14.5,47.7,39.3,60.7,77.5,22.5,49,51,Andrew Wiggins,76
2019-20,GSW,12,33.6,68.6,31.4,56.7,8.6,25.8,17.6,17.5,19.7,48.1,50,50,95,5,60.5,39.5,Andrew Wiggins,76
2019-20,MIN,42,34.7,65.2,34.8,55.2,7.6,29,5,15.8,13.2,47.6,36.5,63.5,73.6,26.4,46.2,53.8,Andrew Wiggins,76
2018-19,MIN,73,34.8,71.2,28.8,57.5,16.7,26.8,10.4,15.7,13,40.9,45,55,81.4,18.6,53.6,46.4,Andrew Wiggins,76
2017-18,MIN,82,36.3,74,26,62.9,16.7,23.1,10.1,14,15.8,46.3,47,53,84.8,15.2,54.5,45.5,Andrew Wiggins,76
2016-17,MIN,82,37.2,81.6,18.4,62.7,23.1,16,11.3,21.3,14.1,39.6,41.4,58.6,75.7,24.3,46.4,53.6,Andrew Wiggins,76
2015-16,MIN,81,35.1,85.3,14.7,64.1,18.5,10.2,12.5,25.7,16.4,45.6,51,49,82.5,17.5,54,46,Andrew Wiggins,76
2014-15,MIN,82,36.2,88.9,11.1,66,19.9,8.4,13,25.6,19.3,46.1,48.9,51.1,87.2,12.8,51.9,48.1,Andrew Wiggins,76
