By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,PHX,25,33.1,3.0,1.6,2.4,7.6,11.9,8.8,12.3,32.8,0.7,0.4,2.6,2.0,Bradley Beal,66
2023-24,PHX,53,33.3,3.2,1.5,1.8,8.1,12.8,9.6,10.7,34.9,0.5,0.7,2.4,1.9,Bradley Beal,66
2022-23,WAS,50,33.5,2.4,1.9,1.5,10.6,11.1,9.8,9.3,34.6,0.7,0.7,2.1,3.4,Bradley Beal,66
2021-22,WAS,40,36.0,3.0,2.0,2.1,10.3,12.5,9.8,5.9,36.3,0.4,0.9,2.4,4.0,Bradley Beal,66
2020-21,WAS,60,35.8,4.2,3.1,2.2,12.7,13.1,10.2,8.3,35.6,0.4,1.0,2.3,5.4,Bradley Beal,66
2019-20,WAS,57,36.0,4.3,2.4,3.4,10.9,13,11.2,10.3,38.5,0.4,0.9,2.2,6.1,Bradley Beal,66
2018-19,WAS,82,36.9,3.6,1.8,3.5,10.0,12.9,10.8,10.6,40.1,0.7,0.8,2.8,4.4,Bradley Beal,66
2017-18,WAS,82,36.3,3.8,1.6,2.5,7.3,12.5,9.9,8.4,34.1,0.4,0.8,2.0,3.6,Bradley Beal,66
2016-17,WAS,77,34.9,3.4,2.2,3.5,7.2,11.1,10,8.6,31.7,0.3,0.8,2.2,3.7,Bradley Beal,66
2015-16,WAS,55,31.1,2.5,1.3,2.8,6.3,10.5,7.5,8.3,26.7,0.2,0.5,2.1,2.5,Bradley Beal,66
2014-15,WAS,63,33.5,2.5,1.4,3.1,4.8,11.2,8.4,8.2,26.7,0.3,0.8,2.2,2.3,Bradley Beal,66
2013-14,WAS,73,34.7,3.0,1.2,3.1,4.1,11,9.6,8.3,30.1,0.2,0.5,2.1,2.3,Bradley Beal,66
2012-13,WAS,56,31.2,2.3,1.5,3.1,3.4,10.9,7.9,7.9,24.2,0.5,0.8,2.0,1.9,Bradley Beal,66
