By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,PHX,25,33.1,61.8,38.2,54.5,11.7,36.5,13.5,9,16.7,42.8,54.5,45.5,85.2,14.8,64,36,Bradley Beal,66
2023-24,PHX,53,33.3,68,32,57.3,12.9,31.4,9.9,11.3,17.7,44.4,44.2,55.8,86.1,13.9,55.4,44.6,Bradley Beal,66
2022-23,WAS,50,33.5,75.1,24.9,62.8,17.2,20.7,6.4,16.5,10.3,45.5,40.1,59.9,71.3,28.8,45.7,54.3,Bradley Beal,66
2021-22,WAS,40,36.0,72.8,27.2,61.4,17,20.4,9.1,18.2,12.8,44.4,36.5,63.5,60.3,39.7,40.8,59.2,Bradley Beal,66
2020-21,WAS,60,35.8,73,27,57.5,16.8,20.8,7.1,21.7,13.5,40.7,43,57,72.3,27.7,48.7,51.3,Bradley Beal,66
2019-20,WAS,57,36.0,63.1,36.9,48.6,12.9,29.3,11,22.1,14.2,35.7,37.6,62.4,63.5,36.5,45,55,Bradley Beal,66
2018-19,WAS,82,36.9,63,37,52.9,14,29.9,13.7,17.2,14.2,38.9,42.5,57.5,71.8,28.2,50.5,49.5,Bradley Beal,66
2017-18,WAS,82,36.3,64.3,35.7,52.1,20,32.1,10.9,15.8,16.9,32.1,35.5,64.5,78.4,21.6,48,52,Bradley Beal,66
2016-17,WAS,77,34.9,58.2,41.8,46.5,15.2,37.6,15.1,15.9,14.7,31.4,48.6,51.4,80.7,19.3,59.8,40.2,Bradley Beal,66
2015-16,WAS,55,31.1,66.1,33.9,53,16.9,32.9,16.3,14.1,14.4,36.1,42.9,57.1,80,20,53.8,46.2,Bradley Beal,66
2014-15,WAS,63,33.5,69.6,30.4,53.4,22.2,33.1,20.1,13.5,16.3,31.2,55.3,44.7,85.8,14.2,64.2,35.8,Bradley Beal,66
2013-14,WAS,73,34.7,70.1,29.9,54.9,30.9,33.1,18.3,12,17.3,24,51.3,48.7,94.2,5.8,63.6,36.4,Bradley Beal,66
2012-13,WAS,56,31.2,65.6,34.4,49,24.9,35,22.1,16,16.7,24.1,64.4,35.6,94.5,5.5,74.1,25.9,Bradley Beal,66
