By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,MIL,24,36.3,46.9,53.1,34.1,9.3,40.7,7.6,25.2,7.9,24.8,14.6,85.4,48.8,51.2,29.7,70.3,Damian Lillard,14
2023-24,MIL,73,35.3,51.3,48.7,36.2,8.2,37.2,7.5,26.6,10.5,27.9,19.6,80.4,50.9,49.1,32.3,67.7,Damian Lillard,14
2022-23,POR,58,36.3,45.3,54.7,33.4,6,39.2,8.6,27.4,11.9,27.4,15.7,84.3,51.6,48.4,31.5,68.5,Damian Lillard,14
2021-22,POR,29,36.4,48.6,51.4,37.4,10.9,39.7,7.9,22.9,11.5,26.5,19.2,80.8,44.6,55.4,29.7,70.3,Damian Lillard,14
2020-21,POR,67,35.8,47.2,52.8,33.9,7.5,42.8,8.4,23.3,12,26.5,17.7,82.3,39.3,60.7,27.6,72.4,Damian Lillard,14
2019-20,POR,66,37.5,50,50,35.8,6.6,41,8.2,23.2,10.1,29.2,9.9,90.1,28.9,71.1,18.1,81.9,Damian Lillard,14
2018-19,POR,80,35.5,58.1,41.9,43,12.7,34.4,10.2,22.6,13.4,30.3,19.4,80.6,46,54,28.6,71.4,Damian Lillard,14
2017-18,POR,73,36.6,55.5,44.5,40.2,11.6,34.7,8.1,25.1,12.8,28.5,18,82,43.6,56.4,27.4,72.6,Damian Lillard,14
2016-17,POR,75,35.9,61.1,38.9,44.2,12.4,31.7,9.4,24.1,13,31.8,23.5,76.5,49.5,50.5,31.9,68.1,Damian Lillard,14
2015-16,POR,75,35.7,58.6,41.4,41.4,13.1,36.6,8,22,11,28.3,20.3,79.7,47.2,52.8,30.3,69.7,Damian Lillard,14
2014-15,POR,82,35.7,57.9,42.1,45.8,11.7,34.2,11.1,20,13.4,34.1,24.1,75.9,51,49,33.1,66.9,Damian Lillard,14
2013-14,POR,82,35.8,57.5,42.5,39.5,11,38.6,10.4,21.9,14.6,28.6,26.9,73.1,59.6,40.4,39.8,60.2,Damian Lillard,14
2012-13,POR,82,38.6,60.9,39.1,47.1,19,35.5,10.7,17.4,16,28.2,23.6,76.4,53.5,46.5,33.6,66.4,Damian Lillard,14
