By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,SAC,32,35.4,85.4,14.6,67.8,38.1,10.3,4.9,21.9,11.4,29.7,40.3,59.7,87,13,44.6,55.4,Demar Derozan,43
2023-24,CHI,79,37.8,83.4,16.6,60.6,24.9,11.9,3.7,27.5,13.3,35.7,28.2,71.8,85.3,14.7,34.8,65.2,Demar Derozan,43
2022-23,CHI,74,36.2,89.1,10.9,67.3,35,7.6,4.7,25.1,13.4,32.3,24.4,75.6,84.8,15.2,28.6,71.4,Demar Derozan,43
2021-22,CHI,76,36.1,90.7,9.3,68.4,32.9,7.1,5.4,24.5,12.4,35.5,21.7,78.3,90,10,26.1,73.9,Demar Derozan,43
2020-21,SAS,61,33.7,92,8,66.3,23.7,4.3,7.6,29.4,12.7,42.6,24.8,75.2,94.7,5.3,27.7,72.3,Demar Derozan,43
2019-20,SAS,68,34.1,96.7,3.3,72.9,22.6,1.8,8.8,25.3,12.5,50.3,27,73,88.9,11.1,28,72,Demar Derozan,43
2018-19,SAS,77,34.9,96.6,3.4,76.3,27.4,1.3,6.8,22.4,11.7,48.9,27.6,72.4,100,0,28.4,71.6,Demar Derozan,43
2017-18,TOR,80,33.9,79.7,20.3,60.4,23.3,14.5,9.1,25.1,15.5,37.2,26.3,73.7,67.4,32.6,31.9,68.1,Demar Derozan,43
2016-17,TOR,74,35.4,92,8,68.1,30.5,4.9,9.3,27,12.8,37.6,18.8,81.3,84.8,15.2,21.8,78.2,Demar Derozan,43
2015-16,TOR,78,35.9,89.9,10.1,62,23.1,7.7,7.7,30.3,13.1,38.9,25.2,74.8,83,17,29.6,70.4,Demar Derozan,43
2014-15,TOR,60,35.0,91.1,8.9,63.8,30.2,6.2,10.2,30,16.4,33.6,41.7,58.3,96,4,45,55,Demar Derozan,43
2013-14,TOR,79,38.2,85.1,14.9,60.3,31.9,10.7,9.1,29,17.7,28.4,46.5,53.5,84.4,15.6,50.5,49.5,Demar Derozan,43
2012-13,TOR,82,36.7,90.3,9.7,69.2,35.7,6.9,12.2,23.9,18.7,33.5,52.7,47.3,88.2,11.8,54.9,45.1,Demar Derozan,43
2011-12,TOR,63,35.0,89.8,10.2,67.7,30.6,6.8,15.7,25.5,18.9,37.2,63,37,79.2,20.8,64,36,Demar Derozan,43
2010-11,TOR,82,34.8,95.5,4.5,75.7,31.6,1.1,19.3,23.2,17.2,44.1,59.4,40.6,60,40,59.4,40.6,Demar Derozan,43
2009-10,TOR,77,21.6,96.9,3.1,75.8,22.1,1.8,25.5,22.4,19,53.8,67.3,32.7,100,0,67.8,32.2,Demar Derozan,43
