By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,TOT,34,31.7,53.9,46.1,42,13.3,40.9,6.6,17.1,11.7,28.8,23.4,76.6,69.4,30.6,41.5,58.5,Dennis Smith Jr.,85
2024-25,GSW,11,27.9,53.9,46.1,42.3,17.3,40.4,4.8,17.3,1.9,25,27.3,72.7,78.6,21.4,47.2,52.8,Dennis Smith Jr.,85
2024-25,BKN,23,33.6,53.8,46.2,42,12.3,41,7.1,17,14.2,29.7,22.5,77.5,67.2,32.8,40.1,59.9,Dennis Smith Jr.,85
2023-24,TOT,80,31.1,60.3,39.7,47.2,13,36.9,6.9,15.9,13,34.2,33.2,66.8,81.2,18.8,49.6,50.4,Dennis Smith Jr.,85
2023-24,BKN,29,32.0,59.8,40.2,44.8,7.1,43.2,5.9,12,12.5,37.7,22.1,77.9,67.2,32.8,39.7,60.3,Dennis Smith Jr.,85
2023-24,TOR,51,30.6,60.6,39.4,48.7,16.6,33.1,7.4,18.2,13.3,32.1,39.4,60.6,92.2,7.8,55.9,44.1,Dennis Smith Jr.,85
2022-23,LAL,66,30.1,65.4,34.6,47.2,13.3,26.7,9,26.1,9.2,34,24.5,75.5,90.5,9.5,42.6,57.4,Dennis Smith Jr.,85
2021-22,TOT,64,28.7,65.5,34.5,52.1,13.6,29.8,8.3,18.1,17,38.5,26.5,73.5,72.1,27.9,39.1,60.9,Dennis Smith Jr.,85
2021-22,HOU,15,27.0,58.6,41.4,44.2,14.7,35,14.7,20.8,16,29.4,13.9,86.1,68.4,31.6,32.7,67.3,Dennis Smith Jr.,85
2021-22,BOS,49,29.2,67.1,32.9,54,13.4,28.6,6.8,17.4,17.2,40.6,28.9,71.1,73.1,26.9,40.5,59.5,Dennis Smith Jr.,85
2020-21,LAL,61,32.1,72.1,27.9,55.5,15.5,22.6,7.4,21.9,12.1,40,31.8,68.2,88.7,11.3,44,56,Dennis Smith Jr.,85
2019-20,OKC,65,30.8,66.3,33.7,53.4,19,30.5,9,16.1,17.9,34.3,35.7,64.3,84,16,49,51,Dennis Smith Jr.,85
2018-19,OKC,79,29.3,67,33,54.4,16.2,30.4,15.8,15.2,14.5,38.2,16.5,83.5,79.8,20.2,33.7,66.3,Dennis Smith Jr.,85
2017-18,ATL,67,31.0,77.1,22.9,65.2,23.8,17.5,7.9,17.3,18.9,41.4,19.3,80.7,56.6,43.4,25,75,Dennis Smith Jr.,85
2016-17,ATL,79,31.5,75.8,24.2,63.4,19.2,21.2,10.3,15.4,16.5,44.1,21,79,67,33,29.4,70.6,Dennis Smith Jr.,85
2015-16,ATL,80,20.3,69.4,30.6,57.3,16.8,26.3,9.8,16.4,17.4,40.5,23,77,72.7,27.3,34.7,65.3,Dennis Smith Jr.,85
2014-15,ATL,77,19.7,77.7,22.3,60.4,14.1,20.3,7.4,19.3,16,46.4,20.7,79.3,67.3,32.7,29.2,70.8,Dennis Smith Jr.,85
2013-14,ATL,49,13.1,77.7,22.3,67.8,13.1,16.4,14.8,15.8,17.5,54.6,33.9,66.1,90,10,41.7,58.3,Dennis Smith Jr.,85
