By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,BOS,35,34.3,30.3,69.7,27.4,3.3,62.6,10.4,10,12.7,24,51.2,48.8,82.4,17.6,70,30,Derrick White,71
2023-24,BOS,73,32.6,41,59,34.5,3.3,53.1,12.5,12.4,11.8,31.3,41.9,58.1,80.1,19.9,61.2,38.8,Derrick White,71
2022-23,BOS,82,28.3,48.4,51.6,39.5,2.9,44,11.6,16.5,13.9,36.6,50.2,49.8,89.9,10.1,67.1,32.9,Derrick White,71
2021-22,TOT,75,29.3,53.9,46.1,44.8,5.2,34.8,13.5,20.4,12.3,39.5,40.1,59.9,83.5,16.5,54.9,45.1,Derrick White,71
2021-22,BOS,26,27.4,51.7,48.3,42,3.5,35.7,11.9,22.3,9.8,38.5,51.7,48.3,88.2,11.8,64.9,35.1,Derrick White,71
2021-22,SAS,49,30.3,54.7,45.3,45.9,5.9,34.4,14.2,19.7,13.3,39.9,35.8,64.2,81.5,18.5,51,49,Derrick White,71
2020-21,SAS,36,29.5,46.4,53.6,36.9,4.3,45.6,9.8,17.5,14.8,32.5,48,52,86.9,13.1,65.6,34.4,Derrick White,71
2019-20,SAS,68,24.7,60.9,39.1,45.5,5.8,31,13.6,23.5,10.7,39.7,38.5,61.5,81,19,51.8,48.2,Derrick White,71
2018-19,SAS,67,25.8,73.8,26.2,64,15.7,21.7,12.2,14.3,14.2,48.3,42.9,57.1,83.3,16.7,50.4,49.6,Derrick White,71
2017-18,SAS,17,8.2,60.6,39.4,29.6,7.4,44.4,7.4,26,14.8,22.2,25,75,62.5,37.5,43.8,56.3,Derrick White,71
