By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,PHX,27,36.3,57.7,42.3,41.9,15,31.9,15.1,26.2,16.3,26.9,42.9,57.1,76.1,23.9,54,46,Devin Booker,17
2023-24,PHX,68,36.0,68,32,53.2,20,24.8,13.9,22,11.4,33.2,37.3,62.7,61.2,38.8,43,57,Devin Booker,17
2022-23,PHX,53,34.6,70.4,29.6,56.6,20.8,22.6,13.2,20.8,14.3,35.8,38.7,61.3,68.5,31.5,45,55,Devin Booker,17
2021-22,PHX,68,34.5,66.4,33.6,52.6,23.8,30.1,15.3,17.3,17.3,28.8,39.9,60.1,63.4,36.6,46.4,53.6,Devin Booker,17
2020-21,PHX,67,33.9,71.2,28.8,58.1,19.7,22.1,13.9,19.8,13.4,38.3,39.4,60.6,65.9,34.1,44.8,55.2,Devin Booker,17
2019-20,PHX,70,35.9,69,31,52.2,16.4,22.7,15,25.1,16.2,35.7,41.6,58.4,61,39,45.9,54.1,Devin Booker,17
2018-19,PHX,64,35.0,67,33,53.1,15.4,23.8,16.2,23.1,13.8,37.6,29.5,70.5,57.8,42.2,36,64,Devin Booker,17
2017-18,PHX,54,34.5,63.6,36.4,45.8,18.9,32.8,13.7,21.4,10.3,26.9,33.8,66.2,61.2,38.8,42.6,57.4,Devin Booker,17
2016-17,PHX,78,35.0,71.7,28.3,53.2,22.9,25.6,22.4,21.2,18,30.2,33.3,66.7,76.2,23.8,43.7,56.3,Devin Booker,17
2015-16,PHX,76,27.7,66.7,33.3,51.1,19.7,28.3,21,20.6,17.4,31.5,45.5,54.5,78.8,21.2,54.5,45.5,Devin Booker,17
