By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,SAC,34,35.9,82.6,17.4,68.6,4.9,15.4,7.1,16,17.3,63.7,64.2,35.8,100,0,68.8,31.2,Domantas Sabonis,41
2023-24,SAC,82,35.7,91.9,8.1,75.5,4.1,6.2,7.3,18.3,12.4,71.3,60.7,39.3,90.9,9.1,62.3,37.7,Domantas Sabonis,41
2022-23,SAC,79,34.6,91.2,8.8,72.3,4.6,6.2,7.2,21.5,13.7,67.7,58.1,41.9,100,0,60.3,39.7,Domantas Sabonis,41
2021-22,TOT,62,34.4,83.8,16.2,69,2.6,10,6.7,21,11,66.4,61.6,38.4,97.4,2.6,64.8,35.2,Domantas Sabonis,41
2021-22,SAC,15,33.6,91.6,8.4,76.3,4.9,4.2,6.4,19.5,15.2,71.4,60.2,39.8,75,25,60.7,39.3,Domantas Sabonis,41
2021-22,IND,47,34.7,81.1,18.9,66.7,1.8,11.8,6.9,21.5,9.7,64.9,62.2,37.8,100,0,66.2,33.8,Domantas Sabonis,41
2020-21,IND,62,36.0,82.1,17.9,68.6,4.4,12.4,9,19,15.2,64.1,60.6,39.4,96.2,3.8,64.5,35.5,Domantas Sabonis,41
2019-20,IND,62,34.8,92.1,7.9,76.9,10.8,4.4,3.9,18.7,13.9,66.1,65.1,34.9,100,0,66.4,33.6,Domantas Sabonis,41
2018-19,IND,74,24.8,97.6,2.4,77.5,9.4,2.6,4.7,19.9,15.1,68.1,65.6,34.4,100,0,66.3,33.7,Domantas Sabonis,41
2017-18,IND,74,24.5,94.4,5.6,76,11.6,4.5,7.1,19.5,15.7,64.3,73.7,26.3,100,0,74.7,25.3,Domantas Sabonis,41
2016-17,OKC,81,20.1,66.9,33.1,58.9,13.8,31.9,7.9,9.2,15.9,45.1,62.4,37.6,100,0,72.4,27.6,Domantas Sabonis,41
