By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,MIL,25,35.0,96.5,3.5,77.1,12.5,1.5,18.8,21.4,17.1,64.5,42,58,25,75,41.8,58.2,Giannis A,1
2023-24,MIL,73,35.2,90.9,9.1,72.3,5.5,4.6,18,23.1,12.7,66.8,50.9,49.1,50,50,50.9,49.1,Giannis A,1
2022-23,MIL,63,32.1,86.6,13.4,67.4,7,7.2,17.5,25.4,12.9,60.3,41.5,58.5,61.7,38.3,42.9,57.1,Giannis A,1
2021-22,MIL,67,32.9,80.6,19.4,61.7,8.5,10.6,14.4,27.7,13.2,53.2,43.2,56.8,42.3,57.7,43.1,56.9,Giannis A,1
2020-21,MIL,61,33.0,79.9,20.1,65.1,5.9,11.7,16.6,23.2,14.7,59.2,42.8,57.2,29.9,70.1,41.4,58.6,Giannis A,1
2019-20,MIL,63,30.4,76.3,23.7,64.2,4.8,14.4,20.5,21.4,16,59.3,43.8,56.2,55.1,44.9,45.3,54.7,Giannis A,1
2018-19,MIL,72,32.8,83.7,16.3,67.1,4,7.8,16.9,25.1,14.1,63.1,47.2,52.8,67.3,32.7,48.7,51.3,Giannis A,1
2017-18,MIL,75,36.7,90,10,69.4,11.1,6.4,17.6,24.2,15.6,58.3,42.9,57.1,90.7,9.3,45.7,54.3,Giannis A,1
2016-17,MIL,80,35.6,85.7,14.3,66.3,9.3,8,23.4,25.7,20.6,57,42,58,71.4,28.6,44.2,55.8,Giannis A,1
2015-16,MIL,80,35.3,89.2,10.8,71.9,9.9,6.2,23.6,21.9,23.2,61.9,48.5,51.5,82.1,17.9,50.3,49.7,Giannis A,1
2014-15,MIL,81,31.4,94.4,5.6,73,15.5,2,24.1,25,20.9,57.5,51.9,48.1,85.7,14.3,52.5,47.5,Giannis A,1
2013-14,MIL,77,24.6,71.8,28.2,50.3,3.8,23.4,24.6,26.3,21.3,46.5,62.1,37.9,70.7,29.3,64.2,35.8,Giannis A,1
