By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,LAC,36,32.2,100,0,90.2,1.8,0,2.6,9.8,14.9,88.4,68.6,31.4,0,0,68.6,31.4,Ivica Zubac,89
2023-24,LAC,68,26.4,100,0,84.9,0.3,0,3.8,15.1,11.1,84.6,77.2,22.8,0,0,77.2,22.8,Ivica Zubac,89
2022-23,LAC,76,28.5,99.6,0.4,79.7,1,0,4.9,20.3,11.2,78.7,73.3,26.7,0,0,73.3,26.7,Ivica Zubac,89
2021-22,LAC,76,24.4,100,0,79,1,0,5.5,21,10.7,78,71.9,28.1,0,0,71.9,28.1,Ivica Zubac,89
2020-21,LAC,72,22.3,99,1,78.8,0.6,0.5,5.2,20.7,7.8,78.2,73.4,26.6,100,0,73.5,26.5,Ivica Zubac,89
2019-20,LAC,72,18.4,99.5,0.5,79.2,5.4,0,10.9,20.8,12.9,73.8,72.5,27.5,0,0,72.5,27.5,Ivica Zubac,89
2018-19,TOT,59,17.6,100,0,80.8,1.9,0,10.1,19.2,13.5,78.9,80.2,19.8,0,0,80.2,19.8,Ivica Zubac,89
2018-19,LAC,26,20.1,100,0,82,4.1,0,14.3,18,12.7,77.9,81,19,0,0,81,19,Ivica Zubac,89
2018-19,LAL,33,15.6,100,0,79.7,0,0,6.4,20.3,14.2,79.7,79.5,20.5,0,0,79.5,20.5,Ivica Zubac,89
2017-18,LAL,43,9.5,99.2,0.8,75.8,2.5,0,11.8,24.2,8.7,73.3,65.6,34.4,0,0,65.6,34.4,Ivica Zubac,89
2016-17,LAL,38,16.0,98.7,1.3,88.7,14.8,0,6.3,11.3,9.9,73.9,80.2,19.8,0,0,80.2,19.8,Ivica Zubac,89
