By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,TOR,31,31.9,99.4,0.6,85.8,5.1,0,5.5,14.2,9.1,80.8,71.9,28.1,0,0,71.9,28.1,Jakob Poeltl,87
2023-24,TOR,50,26.4,100,0,89.4,2.9,0,7.2,10.6,12.1,86.5,79.8,20.2,0,0,79.8,20.2,Jakob Poeltl,87
2022-23,TOT,72,26.5,99.8,0.2,86.7,2.5,0,5.1,13.3,16.5,84.3,65.6,34.4,0,0,65.6,34.4,Jakob Poeltl,87
2022-23,TOR,26,27.2,100,0,88,4.7,0,5,12,19.1,83.3,74.7,25.3,0,0,74.7,25.3,Jakob Poeltl,87
2022-23,SAS,46,26.1,99.7,0.3,86,1.1,0,5.2,14,14.9,84.9,59.8,40.2,0,0,59.8,40.2,Jakob Poeltl,87
2021-22,SAS,68,29.0,99.8,0.2,89.4,1.7,0.3,1.5,10.3,13.1,87.7,70.2,29.8,100,0,70.2,29.8,Jakob Poeltl,87
2020-21,SAS,69,26.7,100,0,89.4,3,0,3,10.6,12.6,86.3,75.5,24.5,0,0,75.5,24.5,Jakob Poeltl,87
2019-20,SAS,66,17.7,100,0,89.2,2.7,0,10.2,10.8,12.6,86.6,75.3,24.7,0,0,75.3,24.7,Jakob Poeltl,87
2018-19,SAS,77,16.5,100,0,88.4,3.8,0,4,11.6,13,84.6,70.6,29.4,0,0,70.6,29.4,Jakob Poeltl,87
2017-18,TOR,82,18.6,99.5,0.5,88.9,2.1,0.5,6.7,10.6,16.6,86.8,73,27,100,0,73.1,26.9,Jakob Poeltl,87
2016-17,TOR,54,11.6,100,0,81.2,2.4,0,4.8,18.8,14.5,78.8,68.7,31.3,0,0,68.7,31.3,Jakob Poeltl,87
