By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,LAC,34,33.9,48.5,51.5,31.7,5.2,38.9,9.7,29.4,17.3,26.5,17.2,82.8,36.8,63.2,26.1,73.9,James Harden,34
2023-24,LAC,72,34.3,40.6,59.4,27.9,4.2,46.8,11.1,25.3,11.2,23.7,15.7,84.3,46.2,53.8,31.8,68.2,James Harden,34
2022-23,PHI,58,36.8,50.4,49.6,34.5,5.9,39.7,10,25.8,14.7,28.6,12.9,87.1,41.6,58.4,25.3,74.7,James Harden,34
2021-22,TOT,65,37.2,54.8,45.2,36.2,2.9,31,9.8,32.8,13.7,33.2,18.9,81.1,25.7,74.3,21.4,78.6,James Harden,34
2021-22,PHI,21,37.7,50.7,49.3,31.2,1.8,31.2,8.8,37.6,13.8,29.4,27.5,72.5,30.4,69.6,28.7,71.3,James Harden,34
2021-22,BKN,44,37.0,56.5,43.5,38.4,3.4,30.9,10.3,30.7,13.6,34.9,15.8,84.2,23.5,76.5,18.5,81.5,James Harden,34
2020-21,TOT,44,36.6,54.5,45.5,40.8,1.7,33.5,9.8,25.7,12.7,39.2,16.7,83.3,24.8,75.2,19.6,80.4,James Harden,34
2020-21,BKN,36,36.6,56.3,43.7,42,2,32.5,9.7,25.5,12.1,40,16.1,83.9,24,76,18.8,81.2,James Harden,34
2020-21,HOU,8,36.3,46.7,53.3,35.4,0,37.9,10.1,26.7,15.7,35.4,20,80,28,72,23.3,76.7,James Harden,34
2019-20,HOU,68,36.5,44.3,55.7,31.9,0.9,38.4,10.3,29.7,15.6,31.1,13.9,86.1,17.1,82.9,15.3,84.7,James Harden,34
2018-19,HOU,78,36.8,46.1,53.9,33,2.4,40.2,8.5,26.8,14.9,30.6,10.5,89.5,16.1,83.9,13,87,James Harden,34
2017-18,HOU,72,35.4,50.2,49.8,35.2,4.6,36.3,6.7,28.5,15.4,30.7,8.8,91.2,26,74,15.8,84.2,James Harden,34
2016-17,HOU,81,36.4,50.7,49.3,35,5.5,33.4,13.7,31.6,15.2,29.5,9.5,90.5,31.7,68.3,18.1,81.9,James Harden,34
2015-16,HOU,82,38.1,59.4,40.6,39.9,10.8,29.8,19.4,30.3,16.6,29.1,18.1,81.9,52.1,47.9,29.4,70.6,James Harden,34
2014-15,HOU,81,36.8,62.2,37.8,39.6,9.3,28.1,21,32.3,18.4,30.3,16.9,83.1,51,49,27.8,72.2,James Harden,34
2013-14,HOU,73,38.0,59.9,40.1,40.2,9.8,28.7,27.3,31.1,16.8,30.4,22.3,77.7,58.8,41.2,34.1,65.9,James Harden,34
2012-13,HOU,78,38.3,63.6,36.4,40.1,7.1,26.5,24.3,33.4,18.4,33,24.1,75.9,47.5,52.5,31.3,68.7,James Harden,34
2011-12,OKC,62,31.4,53.6,46.4,37.4,4.6,32.8,19.4,29.8,18.9,32.8,28.2,71.8,86,14,49.5,50.5,James Harden,34
2010-11,OKC,82,26.7,52.6,47.4,37.1,7.8,34,18.5,28.9,17.4,29.3,42.2,57.8,82.3,17.7,57.4,42.6,James Harden,34
2009-10,OKC,76,22.9,57.1,42.9,37.2,11.7,37.1,20.6,25.7,22.6,25.5,37.9,62.1,92.5,7.5,59.7,40.3,James Harden,34
